BeforeSCPercent	AfterSCPercent	EditorId	IssnId
0.0	0.0198019801980198	3329	3329
0.0072992700729927	0.0829268292682926	9727	2845
0.0484496124031007	0.0317316409791477	18519	2845
0.0494699646643109	0.0250145433391506	18589	2845
0.032258064516129	0.0211180124223602	11549	11549
0.0576923076923076	0.0	16538	11549
0.05	0.0672268907563025	13671	1734
0.0	0.0217391304347826	15498	1734
0.0535714285714285	0.170807453416149	11229	1734
0.1585365853658536	0.0879120879120879	1734	1734
0.0218340611353711	0.0365682137834036	2011	1734
0.0932203389830508	0.0403433476394849	6548	1734
0.025830258302583	0.0441176470588235	14092	1734
0.0718997361477572	0.0432055749128919	6136	1734
0.1850431447746884	0.1029138251704897	18089	1734
0.0776699029126213	0.112565445026178	16505	16505
0.0685579196217494	0.0462427745664739	16767	16505
0.2428150331613854	0.1172413793103448	18102	16505
0.27	0.2208588957055214	278	278
0.125	0.0	19181	278
0.3389830508474576	0.4285714285714285	14243	278
0.2306425041186161	0.1250789639924194	13684	278
0.2470588235294117	0.2954545454545454	10237	278
0.1714285714285714	0.0476190476190476	14323	278
0.0344827586206896	0.1849901250822909	9762	9762
0.25	0.0909090909090909	12489	7
0.0075757575757575	0.0075987841945288	17568	7
0.2009456264775413	0.232	16928	7
0.1428571428571428	0.0484848484848484	5041	7
0.0	0.125	9774	7
0.0689655172413793	0.1111111111111111	15600	7
0.0761421319796954	0.1284046692607003	1224	7
0.25	0.2004889975550122	15947	7
0.0962566844919786	0.0341968911917098	17452	7
0.0435510887772194	0.145475372279496	17502	7
0.0757825370675453	0.1805555555555555	2629	7
0.0344827586206896	0.096551724137931	18459	7
0.0714285714285714	0.0	12593	7
0.4825581395348837	0.3302752293577982	17248	7
0.0163934426229508	0.1810344827586207	12491	7
0.1347150259067357	0.0599455040871934	17279	7
0.0277945619335347	0.002027027027027	17442	7
0.0763827919227392	0.035006605019815	19077	7
0.2084367245657568	0.1639974375400384	12876	7
0.1935483870967742	0.0980392156862745	6603	5872
0.2009345794392523	0.1154684095860566	16043	5872
0.0943396226415094	0.0344827586206896	12434	5872
0.375	0.2761506276150627	16512	5872
0.0058823529411764	0.0498687664041994	14686	5872
0.0	0.0	14874	5872
0.141025641025641	0.1521739130434782	16489	5872
0.0	0.0192771084337349	12070	5872
0.1616161616161616	0.2426470588235294	17247	5872
0.5185185185185185	0.3278688524590163	14105	5983
0.475	0.3969849246231156	11804	5983
0.5522388059701493	0.165680473372781	5983	5983
0.0486692015209125	0.0216622458001768	1009	1009
0.1794871794871795	0.0	17264	2584
0.041970802919708	0.0788288288288288	2584	2584
0.1111111111111111	0.2629482071713147	3094	2584
0.3645320197044335	0.0666666666666666	6012	2584
0.0	0.0779220779220779	16312	2584
0.1857923497267759	0.1688144329896907	13484	2584
0.1148148148148148	0.0957290132547864	15954	2584
0.1748878923766816	0.1044776119402985	16544	2584
0.3414634146341463	0.2	17485	2584
0.1	0.0303501945525291	18369	2584
0.148471615720524	0.1334319526627219	18802	2584
0.125	0.0027548209366391	6821	2584
0.2745098039215686	0.2637362637362637	18879	2584
0.7058823529411765	0.4832155477031802	17071	2584
0.1362397820163488	0.1313364055299539	18494	2584
0.0	0.3333333333333333	17746	7512
0.0434782608695652	0.008130081300813	7512	7512
0.625	0.2608695652173913	17283	7512
0.0	0.125	11689	2175
0.2700729927007299	0.2785923753665689	15021	2175
0.0	0.0060975609756097	2174	2175
0.1489675516224188	0.1417797888386123	16625	2175
0.3910818713450292	0.5495151337055539	14293	2175
0.0639636490737504	0.0271348762968874	4490	2175
0.027027027027027	0.0689655172413793	18097	2175
0.2020930232558139	0.0988104893214382	14957	2175
0.1344430217669654	0.0552331398839303	11015	2175
0.0317565771990433	0.0344093178036605	12064	2175
0.1034482758620689	0.019552012148823	12240	2175
0.0301334481274214	0.023015873015873	12620	2175
0.0424418604651162	0.0288218572331017	18110	2175
