	chief_start	chief_end	EditorId	IssnId
314	2013	2013	16801	13
315	2013	2013	17781	13
316	2018	2019	928	928
317	2018	2019	943	943
318	2018	2019	965	965
319	2018	2019	1215	965
320	2018	2019	11131	965
321	2005	2006	16746	965
322	2013	2014	989	220
323	2015	2018	1840	220
324	2015	2017	2958	220
325	2015	2018	3536	220
326	2015	2017	3656	220
327	2015	2018	4197	220
328	2015	2018	4531	220
329	2014	2015	4599	220
330	2015	2016	5217	220
331	2014	2015	5307	220
332	2015	2018	5327	220
333	2015	2018	5440	220
334	2015	2016	5817	220
335	2015	2018	5889	220
336	2017	2018	6370	220
337	2011	2011	6598	220
338	2013	2016	6724	220
339	2015	2016	7043	220
340	2016	2018	7819	220
341	2013	2014	8253	220
342	2013	2014	8601	220
343	2017	2018	9248	220
344	2015	2017	9404	220
345	2015	2018	9751	220
346	2015	2017	9861	220
347	2017	2018	10487	220
348	2016	2017	10524	220
349	2014	2015	11746	220
350	2015	2018	11775	220
351	2016	2018	11842	220
352	2014	2015	13388	220
353	2015	2018	13682	220
354	2015	2018	13900	220
355	2015	2016	14971	220
356	2016	2018	15754	220
357	2015	2018	17571	220
358	2014	2018	17787	220
359	2016	2018	19059	220
360	2015	2018	19124	220
361	1993	2006	999	999
362	1995	1995	1006	1006
363	2010	2016	1656	1006
364	2012	2019	4358	1006
365	1990	1996	6154	1006
366	1995	2012	16458	1006
367	1995	1995	18719	1006
368	2010	2012	19644	1006
369	1965	1981	1009	1009
370	2004	2019	1043	40
371	1971	1978	13319	40
372	2004	2004	16287	40
373	2011	2011	18524	40
374	2016	2017	1055	838
375	2014	2016	1100	212
376	2014	2016	1850	212
377	2014	2016	3297	212
378	2014	2016	4977	212
379	2014	2016	5527	212
380	2014	2016	6121	212
381	2014	2016	8948	212
382	2014	2016	10827	212
383	2014	2016	11823	212
384	2014	2016	13366	212
385	2014	2016	17607	212
386	1993	1993	1106	256
387	1979	1993	1394	256
388	1979	1993	3011	256
389	1979	1988	10829	256
390	1979	1980	11686	256
391	1993	1993	13427	256
392	1979	1980	15581	256
393	1995	1995	15653	256
394	1980	1983	16806	256
395	2015	2016	1184	3
396	2015	2016	6889	3
397	2015	2016	7310	3
398	2015	2016	8807	3
399	2015	2016	9035	3
400	2017	2019	1225	86
401	2018	2019	2716	86
402	2018	2019	4437	86
403	2018	2019	5036	86
404	2011	2015	1247	492
405	2011	2015	3092	492
406	2013	2015	3251	492
407	2013	2015	6092	492
408	1998	2015	8038	492
409	2011	2015	10434	492
410	1997	2015	17609	492
411	2011	2015	18316	492
412	2011	2015	19568	492
413	1978	1982	1304	357
414	2009	2018	13175	357
415	2018	2019	1320	211
416	2018	2019	2209	211
417	2018	2018	4631	211
418	2018	2019	7012	211
419	2018	2018	8107	211
420	2018	2019	16298	211
421	2018	2018	17394	211
422	1995	1997	1323	1323
423	1987	1990	1325	1325
424	1987	1990	8832	1325
425	1987	1990	15751	1325
426	1987	1990	15978	1325
427	1987	1990	16049	1325
428	2011	2012	1335	314
429	2011	2011	1347	58
430	1993	1993	9467	58
431	2007	2015	1348	1348
432	2009	2013	1735	1348
433	2009	2010	3231	1348
434	2010	2011	4985	1348
435	2010	2011	5912	1348
436	2007	2016	7508	1348
437	2007	2007	12979	1348
438	2007	2012	16198	1348
439	2011	2012	17767	1348
440	2010	2015	1368	768
441	2010	2015	1392	768
442	2011	2015	1399	768
443	2010	2015	2775	768
444	2012	2015	3819	768
445	2010	2015	4572	768
446	2012	2015	4700	768
447	2010	2015	4752	768
448	2010	2014	6303	768
449	2010	2013	9818	768
450	2010	2015	11094	768
451	2010	2010	11922	768
452	2010	2013	14367	768
453	2010	2010	15013	768
454	2012	2015	17365	768
455	2010	2014	19012	768
456	2010	2015	19333	768
457	2014	2015	19504	768
458	2010	2015	19737	768
459	2017	2017	1370	1203
460	2017	2017	10269	1203
461	2017	2017	11504	1203
462	2017	2017	11673	1203
463	2017	2017	13410	1203
464	2019	2019	1452	757
465	2018	2019	3135	757
466	1995	2015	1496	1496
467	2016	2018	1993	1496
468	2015	2019	2122	1496
469	2012	2018	2178	1496
470	2015	2016	2414	1496
471	2015	2018	3891	1496
472	2006	2008	7815	1496
473	2017	2019	7883	1496
474	2017	2019	10870	1496
475	1994	1994	11956	1496
476	2010	2015	13581	1496
477	2007	2007	14046	1496
478	2006	2015	14063	1496
479	1996	2000	14913	1496
480	2010	2012	16191	1496
481	1994	1994	17451	1496
482	2015	2016	19161	1496
483	2012	2016	1504	52
484	2008	2016	2069	52
485	2010	2016	2350	52
486	2008	2016	2988	52
487	2008	2012	4731	52
488	2004	2004	5237	52
489	2008	2013	7866	52
490	2013	2016	8264	52
491	2008	2016	9362	52
492	2010	2010	9607	52
493	2010	2016	11696	52
494	1992	1995	12461	52
495	1994	2014	13903	52
496	2010	2016	15105	52
497	2008	2016	17956	52
498	2012	2016	17992	52
499	2008	2016	19234	52
500	2008	2016	19431	52
501	2015	2019	1523	1523
502	2014	2014	1529	531
503	2013	2014	2441	531
504	1993	2014	3397	531
505	2014	2014	9571	531
506	1994	1998	11432	531
507	2013	2014	12261	531
508	2013	2014	14394	531
509	1993	1995	15036	531
510	2014	2014	19446	531
511	2013	2019	1541	1541
512	2009	2019	1546	1546
513	2014	2019	1548	1548
514	2012	2016	1552	113
515	2014	2017	1553	1553
516	2005	2005	1594	714
517	2005	2005	1970	714
518	2009	2019	6589	714
519	1979	2007	7253	714
520	2005	2005	12217	714
521	2005	2005	15128	714
522	2005	2005	16295	714
523	2005	2005	17786	714
524	2005	2005	17791	714
525	2005	2005	17879	714
526	2007	2007	1609	161
527	1993	2007	7460	161
528	2002	2002	14047	161
529	2002	2007	15879	161
530	2013	2015	17060	161
531	2002	2007	18149	161
532	2018	2019	19439	161
533	2010	2019	1610	1610
534	1997	1997	13965	1610
535	2018	2019	1632	1632
536	2018	2019	9235	1632
537	2018	2019	14190	1632
538	2019	2019	1657	1658
539	2015	2019	2604	1658
540	2019	2019	2676	1658
541	2019	2019	3036	1658
542	2019	2019	3908	1658
543	2019	2019	5285	1658
544	2019	2019	6979	1658
545	2019	2019	8330	1658
546	2019	2019	12244	1658
547	2019	2019	14338	1658
548	2019	2019	15004	1658
549	2019	2019	17652	1658
550	2019	2019	19433	1658
551	2016	2016	1717	1717
552	2016	2019	1953	1717
553	2016	2016	3929	1717
554	2016	2018	4476	1717
555	2016	2016	5630	1717
556	2016	2019	7172	1717
557	2016	2019	10996	1717
558	2016	2019	11241	1717
559	2016	2016	11357	1717
560	2016	2016	11876	1717
561	2016	2016	13148	1717
562	2016	2016	13230	1717
563	2016	2016	15731	1717
564	2016	2016	19089	1717
565	2016	2019	19292	1717
566	2012	2017	1726	932
567	2012	2018	9330	932
568	2012	2018	9805	932
569	2012	2017	17838	932
570	2012	2017	17949	932
571	2012	2018	18858	932
572	2013	2014	1759	343
573	2015	2017	5831	343
574	2017	2017	1786	1786
575	2017	2017	12496	1786
576	2017	2017	18108	1786
577	2017	2017	18664	1786
578	1994	1995	1817	56
579	2014	2017	1854	73
580	1990	1993	3715	73
581	2014	2015	5556	73
582	2014	2017	8361	73
583	2014	2017	11252	73
584	2014	2017	11823	73
585	2014	2015	12080	73
586	2014	2017	12283	73
587	2014	2017	13366	73
588	1987	1989	17014	73
589	2005	2009	1855	98
590	2007	2010	1873	1873
591	2007	2009	2768	1873
592	2004	2006	11364	1873
593	2009	2010	11527	1873
594	2015	2017	11733	1873
595	2008	2016	11846	1873
596	2004	2017	12952	1873
597	2007	2017	13131	1873
598	2011	2017	13386	1873
599	2014	2017	13469	1873
600	2013	2017	13541	1873
601	2004	2017	14855	1873
602	2015	2017	15393	1873
603	2014	2016	15845	1873
604	2009	2016	17013	1873
605	2013	2016	17630	1873
606	2010	2010	19432	1873
607	2011	2013	1945	201
608	2011	2013	2896	201
609	2018	2019	3429	201
610	2009	2013	7256	201
611	2018	2019	15944	201
612	2018	2019	17087	201
613	1979	1989	1957	94
614	2010	2012	2036	2036
615	2010	2018	7040	2036
616	2010	2012	7515	2036
617	2010	2012	7693	2036
618	2010	2018	7735	2036
619	2010	2018	7852	2036
620	2010	2018	8072	2036
621	2010	2018	9354	2036
622	2010	2018	9432	2036
623	2010	2018	9803	2036
624	2010	2018	10526	2036
625	2010	2018	14289	2036
626	2010	2012	19418	2036
627	2010	2012	19712	2036
628	1992	1994	2046	583
629	1992	1994	5026	583
630	2005	2009	15810	583
631	1990	2009	17564	583
632	2018	2019	2056	1157
633	2011	2017	3546	1157
634	2018	2018	3790	1157
635	2018	2018	11084	1157
636	2016	2016	2060	528
637	2016	2016	6371	528
638	2016	2016	11181	528
639	2016	2016	13988	528
640	2016	2016	18959	528
641	2016	2016	19396	528
642	2014	2018	2076	2076
643	2017	2019	2101	516
644	2017	2018	5013	516
645	2017	2019	5073	516
646	2016	2019	5389	516
647	2017	2017	9366	516
648	2016	2017	10061	516
649	2017	2019	14146	516
650	2017	2019	15089	516
651	2016	2018	16352	516
652	2017	2019	16803	516
653	2017	2018	17211	516
654	2017	2019	17807	516
655	2008	2011	2111	1680
656	2015	2019	13888	1680
657	1978	2017	2149	2149
658	2013	2014	2162	39
659	2013	2014	10035	39
660	2013	2014	12086	39
661	2013	2014	16902	39
662	2006	2006	2165	440
663	1995	1996	2174	2175
664	2009	2019	2195	2195
665	1973	1992	2222	2195
666	2005	2019	17272	2195
667	2006	2006	17884	2195
668	2005	2019	18803	2195
669	2008	2014	2202	1634
670	1977	1989	2204	632
671	1988	1989	11616	632
672	1989	1989	11882	632
673	1971	1975	13449	632
674	2008	2012	2257	371
675	1998	2000	6814	371
676	2008	2008	10809	371
677	1998	1998	14368	371
678	1993	1998	14380	371
679	1998	1998	14536	371
680	1998	1998	18839	371
681	2010	2013	2279	1281
682	2009	2016	7665	1281
683	2013	2016	7845	1281
684	2011	2016	13761	1281
685	2017	2018	2291	2291
686	2014	2017	2301	1837
687	1992	2017	9447	1837
688	2014	2017	12322	1837
689	1992	1992	13055	1837
690	2014	2014	14646	1837
691	2014	2017	16810	1837
692	2014	2016	19084	1837
693	2014	2017	19128	1837
694	1996	1998	2317	2317
695	1996	1998	2893	2317
696	1996	1998	3549	2317
697	1996	1998	5826	2317
698	1996	1998	9158	2317
699	1996	1998	18740	2317
700	2009	2019	2319	2319
701	2014	2016	2347	1128
702	2014	2016	3108	1128
703	2014	2016	14621	1128
704	2014	2015	16571	1128
705	2004	2016	2354	284
706	2004	2016	15040	284
707	2016	2019	2361	2361
708	2009	2016	3783	2361
709	2006	2009	10253	2361
710	2016	2019	13872	2361
711	2014	2019	14750	2361
712	2016	2019	14961	2361
713	2011	2016	15982	2361
714	2009	2011	17723	2361
715	2006	2009	18305	2361
716	2010	2019	18925	2361
717	2018	2018	2378	36
718	2004	2013	2389	36
719	2018	2018	4654	36
720	2006	2010	6957	36
721	2018	2018	7663	36
722	1974	1998	12365	36
723	2018	2018	12887	36
724	2018	2018	13763	36
725	2018	2018	14404	36
726	2004	2010	15852	36
727	2015	2017	2417	2417
728	2015	2017	6767	2417
729	1997	2019	2418	2418
730	1994	1994	2486	2065
731	1994	1994	13084	2065
732	2005	2019	13358	2065
733	1994	1994	15094	2065
734	1990	1995	15980	2065
735	1994	1994	16129	2065
736	1994	1994	18086	2065
737	1994	1994	18867	2065
738	2013	2015	2501	406
739	2013	2015	4066	406
740	2011	2015	4685	406
741	2016	2017	4894	406
742	2013	2015	10474	406
743	2012	2015	11077	406
744	2012	2015	12015	406
745	2005	2015	17127	406
746	2013	2015	18607	406
747	2015	2017	2516	738
748	2016	2017	5080	738
749	2015	2017	5711	738
750	2015	2017	6093	738
751	2015	2017	12589	738
752	2015	2017	12843	738
753	2015	2017	16046	738
754	2015	2017	19251	738
755	2015	2017	19443	738
756	2017	2018	2529	2529
757	2017	2018	12025	2529
758	2015	2018	2531	1445
759	1992	2012	2812	1445
760	2012	2018	11757	1445
761	1992	1992	12220	1445
762	2012	2018	14042	1445
763	2004	2006	16860	1445
764	1992	1993	17757	1445
765	2018	2018	2569	1005
766	2018	2018	2998	1005
767	2018	2018	14863	1005
768	1983	1989	2584	2584
769	2006	2006	2595	108
770	2012	2014	3142	108
771	2008	2011	3295	108
772	2015	2017	15934	108
773	2002	2002	2606	2606
774	1988	1988	2629	7
775	2010	2010	14169	7
776	1988	1988	17502	7
777	1988	1988	17568	7
778	1988	1988	18459	7
779	2010	2010	19731	7
780	2010	2019	2632	2489
781	2006	2010	19230	2489
782	2017	2019	2633	2633
783	2017	2019	7096	2633
784	2017	2019	10539	2633
785	2017	2019	13293	2633
786	2017	2019	15446	2633
787	1991	1996	16408	2633
788	2017	2019	17181	2633
789	2015	2019	2664	1312
790	2014	2014	4500	1312
791	2010	2011	2713	236
792	2010	2010	3025	236
793	2010	2011	4706	236
794	2010	2019	4927	236
795	2010	2011	7005	236
796	2010	2011	7633	236
797	2010	2010	8498	236
798	2010	2010	12259	236
799	2010	2011	14902	236
800	2010	2011	16366	236
801	2010	2011	17457	236
802	2010	2011	17597	236
803	2010	2011	19411	236
804	1997	1997	2750	57
805	2017	2017	2754	41
806	2019	2019	2764	2764
807	2017	2019	13999	2764
808	1995	1997	2767	686
809	1996	1997	11093	686
810	1995	1997	11159	686
811	1995	1997	11528	686
812	1995	1995	11923	686
813	1995	1997	12569	686
814	1996	1997	13159	686
815	1996	1997	13477	686
816	1996	1996	13527	686
817	1995	1997	13718	686
818	1995	1996	13811	686
819	2015	2019	13983	686
820	1995	1997	14270	686
821	1996	1997	14373	686
822	1990	1996	2811	2811
823	1993	1997	3464	2811
824	1987	1998	5891	2811
825	1986	1998	9981	2811
826	1987	1993	15185	2811
827	2016	2016	2830	2830
828	2016	2016	2957	2957
829	2016	2017	3924	2957
830	1978	1981	2959	2561
831	2018	2019	5716	2561
832	2016	2019	7627	2561
833	1987	1987	11195	2561
834	2009	2013	14337	2561
835	2016	2019	15999	2561
836	2016	2019	17843	2561
837	2008	2011	18900	2561
838	1989	2016	3010	3010
839	1985	1992	14411	3010
840	2017	2019	3047	165
841	2010	2019	3110	3110
842	2010	2019	6644	3110
843	2011	2019	14119	3110
844	2010	2019	14246	3110
845	2010	2019	14360	3110
846	2010	2018	14397	3110
847	2014	2019	16003	3110
848	2010	2011	16591	3110
849	2010	2019	17459	3110
850	2018	2019	3121	71
851	2017	2018	4310	71
852	2018	2019	6905	71
853	2018	2019	6936	71
854	2018	2019	10044	71
855	2018	2019	12256	71
856	2018	2019	12860	71
857	2014	2017	14721	71
858	2018	2019	16068	71
859	2018	2019	18682	71
860	2011	2011	18828	71
861	2008	2011	3140	1205
862	2017	2019	3168	3168
863	2014	2014	3224	3224
864	2014	2014	6125	3224
865	2014	2014	16139	3224
866	2005	2017	3236	1008
867	2005	2017	3268	923
868	2017	2019	3624	923
869	1989	1999	5480	923
870	2005	2014	15650	923
871	2005	2005	19351	923
872	2008	2019	3300	3300
873	2018	2019	5606	3300
874	2005	2019	6933	3300
875	2005	2009	14064	3300
876	2007	2009	18281	3300
877	2008	2009	19159	3300
878	2009	2019	19515	3300
879	2008	2017	3301	34
880	2017	2017	3705	34
881	2015	2017	5875	34
882	2010	2013	3309	175
883	1976	1976	16021	175
884	2011	2011	3320	3320
885	2012	2013	3322	948
886	2012	2013	5830	948
887	2012	2013	6765	948
888	2012	2013	12710	948
889	2008	2011	3335	3335
890	2008	2019	12229	3335
891	2007	2012	3343	170
892	2007	2012	19687	170
893	2006	2008	3364	630
894	2004	2008	3493	630
895	2015	2019	4155	630
896	2005	2019	5504	630
897	2004	2007	6804	630
898	2015	2019	7603	630
899	2011	2019	9310	630
900	1998	1999	11440	630
901	2015	2017	12648	630
902	2015	2019	13737	630
903	2005	2013	13904	630
904	2004	2005	18847	630
905	2017	2017	3423	3423
906	2016	2019	3427	3139
907	2011	2016	11990	3139
908	2010	2016	3444	1608
909	2006	2019	14427	1608
910	2007	2016	16035	1608
911	2006	2009	16512	1608
912	2006	2016	17631	1608
913	2006	2009	18211	1608
914	2010	2016	19528	1608
915	2016	2016	19549	1608
916	2006	2016	19692	1608
917	2013	2018	3479	1629
918	2017	2018	8031	1629
919	2013	2018	11359	1629
920	2017	2017	13907	1629
921	2017	2017	14300	1629
922	2013	2018	14444	1629
923	1976	2009	3517	530
924	2018	2018	4618	530
925	2016	2018	6248	530
926	2015	2018	6681	530
927	1987	1987	3519	198
928	1988	1988	3880	198
929	1985	2007	11399	198
930	1986	1986	18728	198
931	2011	2011	3538	168
932	2011	2011	4088	168
933	2011	2011	7487	168
934	2011	2011	7911	168
935	2011	2011	9694	168
936	2011	2011	9969	168
937	2011	2011	17659	168
938	1993	1997	3543	3543
939	2015	2019	5234	3543
940	2005	2019	5408	3543
941	2015	2017	6008	3543
942	1993	1997	6965	3543
943	1992	1997	9025	3543
944	2015	2019	9710	3543
945	2015	2019	9812	3543
946	2015	2019	10401	3543
947	2015	2019	11436	3543
948	2014	2014	11967	3543
949	2014	2016	13636	3543
950	2005	2014	13775	3543
951	2015	2019	13815	3543
952	1992	2014	14134	3543
953	2005	2019	14802	3543
954	1990	1990	15036	3543
955	1992	1997	15581	3543
956	1992	1997	16137	3543
957	2005	2006	16701	3543
958	1995	1997	17363	3543
959	1992	1995	17833	3543
960	2015	2015	3559	44
961	2015	2015	3918	44
962	2015	2015	4912	44
963	2015	2015	5742	44
964	2015	2015	6271	44
965	2015	2015	6991	44
966	2015	2015	8726	44
967	2015	2015	10264	44
968	2015	2018	3564	3564
969	2012	2018	16199	3564
970	2018	2018	3629	2446
971	2014	2014	14932	2446
972	2006	2019	3649	399
973	1996	1996	3664	2217
974	1996	1996	4375	2217
975	1996	1996	10014	2217
976	2019	2019	11322	2217
977	1996	1996	11729	2217
978	2010	2010	15534	2217
979	1996	1996	15586	2217
980	2010	2012	15837	2217
981	1996	1996	16471	2217
982	1996	1996	17229	2217
983	2010	2010	17267	2217
984	2014	2016	3697	3697
985	2009	2013	3698	3698
986	2007	2010	3735	3735
987	2015	2019	6969	3735
988	2015	2015	13380	3735
989	2010	2019	3737	1803
990	2016	2019	3806	336
991	2008	2019	3811	973
992	2014	2019	3831	3831
993	1972	2014	13259	3831
994	1969	1969	16838	3831
995	2017	2017	3849	3849
996	2017	2019	7833	3849
997	2011	2016	8231	3849
998	2012	2019	3883	2887
999	2015	2015	3887	1461
1000	2011	2015	5193	1461
1001	2011	2015	9513	1461
1002	2011	2012	9665	1461
1003	1994	2012	11694	1461
1004	2015	2015	13253	1461
1005	2011	2012	13399	1461
1006	2011	2015	15745	1461
1007	1994	1994	16749	1461
1008	1994	2015	18844	1461
1009	2012	2015	4000	4000
1010	2012	2012	13797	4000
1011	2012	2015	15024	4000
1012	2012	2015	15957	4000
1013	2007	2012	18577	4000
1014	2012	2015	19373	4000
1015	2015	2019	4039	272
1016	2017	2018	4111	2688
1017	2017	2018	5702	2688
1018	2010	2013	9885	2688
1019	2018	2019	4128	407
1020	2018	2019	4165	4165
1021	2018	2019	5120	4165
1022	2018	2019	16636	4165
1023	2018	2019	19142	4165
1024	1966	1991	4184	869
1025	1992	2006	12198	869
1026	1982	1985	13403	869
1027	1982	1984	15723	869
1028	2016	2016	4191	4191
1029	2016	2016	6616	4191
1030	2016	2019	7464	4191
1031	2016	2019	8225	4191
1032	2016	2018	11338	4191
1033	2016	2019	12911	4191
1034	2012	2018	4194	1351
1035	2007	2008	4213	226
1036	2019	2019	4226	1883
1037	2015	2016	5897	1883
1038	2018	2018	6615	1883
1039	2019	2019	8533	1883
1040	2019	2019	12936	1883
1041	2019	2019	13214	1883
1042	2017	2017	4230	612
1043	1986	1998	11170	612
1044	1985	1985	13356	612
