EditorYear	EdiCount	AutCount
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	3	0.0
1	3	0.0
2	0	0.0
3	1	0.0
4	5	0.0
5	2	0.0
6	5	0.0
7	2	0.0
8	3	0.0
9	6	0.0
10	1	0.0
-36	0	0.0
-39	0	0.0
-38	0	0.0
-37	0	0.0
11	2	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.44
-16	0	0.44
-15	0	0.56
-14	0	0.44
-13	0	0.0
-12	0	0.0
-11	0	0.44
-10	0	0.0
-9	0	0.0
-8	0	0.56
-7	0	0.0
-6	0	0.56
-5	0	1.0
-4	0	0.0
-3	2	0.56
-2	4	0.56
-1	0	0.0
0	0	0.0
1	1	0.56
2	3	0.88
3	0	0.0
4	4	0.0
5	1	0.44
6	1	1.0
7	1	0.88
8	5	0.88
9	4	0.0
10	10	0.0
11	3	0.0
12	3	0.0
13	4	0.0
14	3	0.0
15	2	0.88
16	5	0.44
17	2	0.0
18	1	0.0
19	3	0.0
20	1	0.0
21	1	1.0
22	0	0.0
23	1	0.0
24	1	0.0
25	0	1.0
26	0	0.0
27	1	0.0
28	1	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	6	0.0
1	6	0.0
2	5	0.0
3	2	0.0
4	1	0.0
5	5	0.0
6	6	0.0
7	11	0.0
8	6	0.0
9	18	0.0
10	10	0.0
-20	0	0.0
-7	0	0.56
-6	0	0.1
-5	1	0.04
-4	0	0.1
-3	0	0.06
-2	0	0.14
-1	0	0.0
0	2	0.02
1	2	0.0
2	4	0.0
3	6	0.04081632653061224
4	2	0.0
5	6	0.08888888888888889
6	8	0.11904761904761904
7	7	0.047619047619047616
8	7	0.07317073170731707
9	6	0.1
10	3	0.075
11	7	0.02564102564102564
12	2	0.0
13	2	0.02564102564102564
14	4	0.08571428571428572
15	4	0.0
16	4	0.0
17	1	0.0
18	5	0.02857142857142857
19	7	0.02857142857142857
20	6	0.03225806451612903
21	5	0.03333333333333333
22	2	0.0
23	2	0.07407407407407407
24	1	0.08
25	2	0.08695652173913043
26	2	0.0
27	0	0.0
28	1	0.0
29	0	0.0
30	0	0.0
31	0	0.0
32	0	0.0
33	0	0.0
34	0	0.0
35	0	0.0
36	0	0.15789473684210525
37	0	0.0
38	0	0.0
39	0	0.15789473684210525
40	0	0.0
41	0	0.0
42	0	0.0
43	0	0.0
44	0	0.0
45	0	0.0
46	0	0.0
47	0	0.0
48	0	0.0
49	0	0.0
50	0	0.0
51	0	0.0
52	0	0.0
53	0	0.0
-30	0	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.14
-4	0	0.0
-3	0	0.1
-2	1	0.76
-1	0	0.0
0	2	0.0
1	4	0.0
2	7	0.0
3	8	0.08
4	3	0.0
5	0	0.0
6	0	0.043478260869565216
7	0	0.06818181818181818
8	0	0.0
9	0	0.0
-33	0	0.0
-32	0	0.0
-31	0	0.0
10	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	2	2.0
0	0	0.0
1	0	0.0
2	4	0.0
3	8	0.0
4	4	0.38
5	5	0.38
6	2	0.0
7	2	0.0
8	0	0.0
9	1	0.0
10	1	0.0
11	2	0.0
12	0	0.38
13	1	0.0
14	3	0.0
-2	1	1.0
-1	0	0.0
0	2	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	1	0.0
-14	0	0.0
-13	0	0.0
-12	1	0.2
-11	0	0.0
-10	0	0.38
-9	0	0.0
-8	0	0.58
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.12
-3	0	0.0
-2	0	0.72
-1	0	0.0
0	1	0.0
1	1	0.0
2	5	0.9
3	3	0.0
4	0	0.6
5	4	0.0
6	2	0.0
7	1	0.375
-30	0	0.0
8	2	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	1	0.0
1	3	0.0
2	3	0.0
3	2	0.0
4	4	0.0
5	3	0.0
6	2	0.0
7	3	0.0
8	3	0.0
9	2	0.0
10	3	0.0
11	3	0.0
12	6	0.0
13	4	0.0
14	3	0.0
15	9	0.0
16	4	0.0
17	5	0.0
18	2	0.0
19	2	0.0
20	6	0.0
21	4	0.0
22	5	0.0
23	4	0.0
24	3	0.0
25	1	0.0
26	4	0.0
27	8	0.0
28	5	0.0
29	7	0.0
30	7	0.0
31	9	0.0
32	6	0.0
-18	0	0.0
-19	0	0.0
-31	0	0.0
-30	0	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	1	0.0
1	4	0.0
2	4	0.0
3	5	0.0
4	4	0.0
5	10	0.0
6	8	0.0
7	5	0.0
8	5	0.021739130434782608
9	9	0.0
10	3	0.0
11	6	0.0
12	3	0.0
13	3	0.024390243902439025
14	1	0.0
15	4	0.0
16	1	0.0
17	1	0.0
18	1	0.0
19	1	0.0
20	0	0.0
21	0	0.0
22	2	0.0
23	1	0.0
24	0	0.0
-34	0	0.0
-33	0	0.0
-32	0	0.0
-35	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	7	0.0
1	1	0.0
2	11	0.0
3	2	0.0
4	6	0.0
5	4	0.0
6	2	0.0
7	9	0.0
8	7	0.0
9	0	0.0
10	4	0.0
-19	0	0.0
11	5	0.0
-20	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	1	0.52
-2	1	1.48
-1	1	1.0
0	4	1.54
1	3	0.24
2	1	0.24
3	4	0.52
4	5	0.26
5	10	0.78
6	3	0.26
7	5	0.52
8	3	0.26
9	3	0.24
10	7	0.0
11	2	0.0
12	3	0.6756756756756757
13	1	1.0
14	1	2.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	0	0.0
1	3	0.0
2	3	0.0
3	4	0.0
4	0	0.0
5	2	0.0
6	0	0.0
7	6	0.0
8	4	0.0
9	4	0.0
10	6	0.0
11	4	0.0
12	3	0.0
13	6	0.0
14	6	0.0
15	3	0.0
16	1	0.0
17	1	0.0
18	3	0.0
19	3	0.0
20	3	0.0
21	2	0.0
22	1	0.0
23	0	0.0
24	0	0.0
-21	0	0.0
-22	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	1.0
-5	0	1.0
-4	0	0.0
-3	1	0.0
-2	1	0.0
-1	1	1.0
0	2	3.0
1	4	0.0
2	2	1.0
3	4	1.0
4	3	0.0
5	2	0.0
6	2	0.0
7	5	1.0
8	8	0.0
9	2	0.0
10	2	0.0
-34	0	0.0
-33	0	0.0
-32	0	0.0
-31	0	0.0
-30	0	0.0
-29	0	0.0
-28	0	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	5	0.0
1	5	0.0
2	0	0.02
3	9	0.02
4	3	0.020833333333333332
5	5	0.020833333333333332
6	1	0.0
7	3	0.043478260869565216
8	3	0.0
9	1	0.0
10	8	0.0
11	5	0.0
12	4	0.0
13	3	0.0
14	0	0.0
15	2	0.0
16	0	0.0
17	3	0.0
18	0	0.0
19	0	0.0
20	1	0.0
21	1	0.0
22	0	0.0
23	0	0.0
24	1	0.0
25	2	0.0
26	2	0.0
-36	0	0.0
-35	0	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	0	0.0
-6	0	0.0
-5	1	0.0
-4	0	1.0
-3	2	1.0
-2	0	1.0
-1	0	0.0
0	0	1.0
1	0	0.0
2	0	0.0
3	2	0.0
4	0	2.0
5	1	0.0
6	6	0.0
7	5	1.0
8	4	0.0
9	3	0.0
10	0	0.0
11	3	0.0
12	0	0.0
13	9	0.0
14	0	0.0
15	0	0.0
16	0	0.0
17	3	0.0
18	0	0.0
19	1	1.0
20	2	0.0
21	1	0.0
22	1	0.0
23	1	0.0
-13	0	0.0
-12	0	0.0
-11	0	0.0
-10	0	0.0
-9	0	0.0
-8	0	0.0
-7	1	1.0
-6	0	0.0
-5	0	1.0
-4	3	2.0
-3	3	2.0
-2	1	2.0
-1	1	1.0
0	1	0.0
1	0	1.0
2	5	0.0
3	0	0.0
4	3	0.0
5	2	1.0
6	10	0.0
7	7	0.0
8	2	0.0
-27	0	0.0
-26	0	0.0
-25	0	0.0
-24	0	0.0
-23	0	0.0
-22	0	0.0
-21	0	0.0
-20	0	0.0
-19	0	0.0
-18	0	0.0
-17	0	0.0
-16	0	0.0
-15	0	0.0
-14	0	0.0
-13	1	0.0
-12	3	0.5
-11	0	0.5
-10	0	0.0
-9	4	0.0
-8	0	2.0
-7	1	0.0
-6	1	1.0
-5	0	1.0
-4	0	0.0
-3	0	2.5
-2	0	0.5
-1	1	1.0
0	5	1.0
1	16	1.0
2	1	1.5
3	9	1.0
4	6	1.0
5	2	0.0
6	9	0.0
7	4	0.0
8	2	2.0
9	1	0.0
10	3	2.0
11	2	1.0
12	2	0.0
13	0	2.0
14	2	3.0
15	2	0.0
16	0	1.0
17	0	0.0
18	0	0.0
19	0	0.0
20	0	0.0
21	0	1.0
22	0	0.0
23	0	0.0
24	0	0.0
25	0	1.0
26	0	1.0
-7	0	0.0
-6	0	0.0
-5	0	0.0
-4	0	0.0
-3	0	0.0
-2	0	0.0
-1	0	0.0
0	1	0.0
1	4	0.0
2	4	0.0
3	2	0.0
4	4	0.0
5	4	0.0
6	7	0.0
7	4	0.0
8	4	0.0
9	4	0.0
10	1	0.0
11	1	0.0
12	4	0.0
13	6	0.0
14	1	0.0
15	1	0.0
16	0	0.0
17	0	0.0
18	0	0.0
19	0	0.0
20	0	0.0
