EditorYear	EdiPercent	Cohort
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	0.5	4
-3	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	0.0	4
2	0.5714285714285714	4
3	0.2857142857142857	4
4	1.0	4
5	0.6666666666666666	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.3333333333333333	4
2	0.5	4
3	0.75	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
2	0.5	4
3	0.0	4
1	0.75	4
1	0.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.6666666666666666	4
1	0.0	4
2	0.0	4
3	0.5	4
4	0.5	4
5	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.75	4
2	0.5	4
0	0.0	4
1	0.5	4
2	0.5	4
3	1.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
1	0.75	4
2	0.3333333333333333	4
3	1.0	4
4	0.7777777777777778	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	1.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.75	4
2	1.0	4
3	0.6666666666666666	4
4	0.0	4
5	1.0	4
1	1.0	4
1	0.0	4
2	0.6666666666666666	4
3	1.0	4
4	0.0	4
5	1.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
2	0.3333333333333333	4
3	0.5	4
4	0.75	4
5	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.5	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	1.0	4
2	0.6666666666666666	4
3	0.25	4
4	1.0	4
5	0.0	4
1	0.0	4
2	1.0	4
3	1.0	4
4	1.0	4
5	1.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.0	4
-1	0.0	4
0	0.0	4
1	0.6666666666666666	4
2	0.25	4
3	1.0	4
4	0.4	4
5	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	1.0	4
5	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
1	0.6666666666666666	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	1.0	4
3	0.5	4
1	0.47368421052631576	4
2	0.8181818181818182	4
3	0.625	4
4	1.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	0.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	0.5	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.6	4
3	0.6666666666666666	4
4	0.6666666666666666	4
5	0.6666666666666666	4
-4	0.0	4
-3	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	1.0	4
-4	0.0	4
-3	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.0	4
3	0.0	4
4	1.0	4
5	0.5	4
-4	0.0	4
-3	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.0	4
4	1.0	4
-4	0.0	4
-3	0.0	4
-1	0.0	4
0	0.0	4
1	0.7857142857142857	4
2	0.6666666666666666	4
3	0.6666666666666666	4
4	0.75	4
5	0.6428571428571429	4
-4	0.0	4
-3	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	1.0	4
3	0.5	4
4	1.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	1.0	4
4	1.0	4
5	1.0	4
1	0.0	4
2	1.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	0.5	4
4	0.0	4
5	0.6666666666666666	4
1	1.0	4
2	0.0	4
3	0.0	4
4	0.0	4
5	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	0.0	4
3	0.6666666666666666	4
4	0.0	4
