Year	edit	during	EditorId	IssnId	AnoPaperId
1987	True	True	13531	197	23709
1994	True	True	13531	197	23710
1986	True	True	13531	197	23711
1987	True	True	13531	197	23712
1990	True	True	13531	197	23713
1984	True	True	13531	197	23714
1991	True	True	13531	197	23715
1994	True	True	13531	197	23716
1992	True	True	13531	197	23717
1992	True	True	13531	197	23718
1984	True	True	13531	197	23719
1985	True	True	13531	197	23720
1994	True	True	13531	197	23721
1988	True	True	13531	197	23722
1990	True	True	13531	197	23723
1988	True	True	13531	197	23724
1993	True	True	13531	197	23725
1987	True	True	13531	197	23726
1992	True	True	13531	197	23727
1978	True	True	13531	197	23728
1981	True	True	13531	197	23729
1979	True	True	13531	197	23730
1979	True	True	13531	197	23731
1980	True	True	13531	197	23732
1980	True	True	13531	197	23733
1981	True	True	13531	197	23734
1984	True	True	13531	197	23735
1980	True	True	13531	197	23736
1979	True	True	13531	197	23737
1981	True	True	13531	197	23738
1981	True	True	13531	197	23739
2005	True	False	13531	197	93556
1995	True	False	13531	197	93557
1976	True	False	13531	197	93558
1975	True	True	13531	89	28371
1975	True	True	13531	89	28372
1974	True	True	13531	89	28373
2000	True	True	13531	89	28437
1988	True	True	13531	89	28438
2000	True	True	13531	89	28439
1979	True	True	13531	89	28440
1976	True	True	13531	89	28441
1971	True	True	13531	89	28442
1967	True	True	13531	89	28443
1968	True	True	13531	89	28444
1974	True	True	13531	89	28445
1966	True	True	13531	89	28446
1971	True	True	13531	89	28447
1979	True	True	13531	89	28448
1979	True	True	13531	89	28449
1967	True	True	13531	89	28450
1973	True	True	13531	89	28451
1970	True	True	13531	89	28452
1967	True	True	13531	89	28453
1981	True	True	13531	89	28454
1978	True	True	13531	89	28455
1967	True	True	13531	89	28456
1977	True	True	13531	89	28457
1971	True	True	13531	89	28458
1971	True	True	13531	89	28459
1979	True	True	13531	89	28460
1972	True	True	13531	89	28461
1979	True	True	13531	89	28462
1972	True	True	13531	89	28463
1978	True	True	13531	89	28464
1975	True	True	13531	89	28465
1978	True	True	13531	89	28466
1980	True	True	13531	89	28467
1972	True	True	13531	89	28468
1969	True	True	13531	89	28469
1972	True	True	13531	89	28470
1972	True	True	13531	89	28471
1970	True	True	13531	89	28472
1979	True	True	13531	89	28473
1972	True	True	13531	89	28474
1970	True	True	13531	89	28475
1972	True	True	13531	89	28476
1973	True	True	13531	89	28477
1978	True	True	13531	89	28478
1968	True	True	13531	89	28479
1969	True	True	13531	89	28480
1968	True	True	13531	89	28481
1970	True	True	13531	89	28482
1973	True	True	13531	89	28483
1967	False	True	13531	89	555126
1966	False	True	13531	89	555127
1969	False	True	13531	89	555128
1969	False	True	13531	89	555129
2010	True	True	12054	1581	45679
1998	True	True	12054	1581	45680
2013	True	True	12054	1581	45681
1998	True	True	12054	1581	45682
2011	True	True	12054	1581	45683
1993	True	True	12054	1581	45684
2015	True	True	12054	1581	45685
2012	True	True	12054	1581	45686
2007	True	True	12054	1581	45687
1996	True	True	12054	1581	45688
1999	True	True	12054	1581	45689
2002	True	True	12054	1581	45690
2012	True	True	12054	1581	45691
2000	True	True	12054	1581	45692
2007	True	True	12054	1581	45693
2006	True	True	12054	1581	45694
2010	True	True	12054	1581	45695
2013	True	True	12054	1581	45696
2015	True	True	12054	1581	45697
1989	True	True	12054	1581	45698
2012	True	True	12054	1581	45699
2007	True	True	12054	1581	45700
1994	True	True	12054	1581	45701
1996	True	True	12054	1581	45702
2015	True	True	12054	1581	45703
2010	True	True	12054	1581	45704
1999	True	True	12054	1581	45705
2004	True	True	12054	1581	45706
2009	True	True	12054	1581	45707
2015	True	True	12054	1581	45708
2012	True	True	12054	1581	45709
1999	True	True	12054	1581	45710
1992	True	True	12054	1581	45711
2006	True	True	12054	1581	45712
2000	True	True	12054	1581	45713
2012	True	True	12054	1581	45714
2011	True	True	12054	1581	45715
1992	True	True	12054	1581	45716
2001	True	True	12054	1581	45717
2012	True	True	12054	1581	45718
1998	True	True	12054	1581	45719
2014	True	True	12054	1581	45720
2002	True	True	12054	1581	45721
2010	True	True	12054	1581	45722
2006	True	True	12054	1581	45723
1994	True	True	12054	1581	45724
2012	True	True	12054	1581	45725
2009	True	True	12054	1581	45726
2016	True	True	12054	1581	45727
2017	True	True	12054	1581	45728
2000	True	True	12054	1581	45729
1990	True	True	12054	1581	45730
1991	True	True	12054	1581	45731
1991	True	True	12054	1581	45732
1991	True	True	12054	1581	45733
1986	True	True	12054	1581	45734
2015	False	True	12054	1581	708684
2015	False	True	12054	1581	708685
2006	False	True	12054	1581	708686
2008	False	True	12054	1581	708687
2008	False	True	12054	1581	708688
2015	False	True	12054	1581	708689
2010	False	True	12054	1581	708690
2010	False	True	12054	1581	708691
2016	False	True	12054	1581	708692
1988	False	True	12054	1581	708693
1987	False	True	12054	1581	708694
1985	False	True	12054	1581	708695
1988	False	True	12054	1581	708696
1987	False	True	12054	1581	708697
1987	False	True	12054	1581	708698
1989	False	True	12054	1581	708699
1987	False	True	12054	1581	708700
1991	False	True	12054	1581	708701
1985	False	True	12054	1581	708702
1993	False	True	12054	1581	708703
1984	False	False	12054	1581	1906673
1980	False	False	12054	1581	1906674
