EditorYear	PeerPercent	Cohort
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.25	4
0	0.0	4
1	0.05263157894736842	4
2	0.0	4
3	0.05714285714285714	4
4	0.08	4
5	0.05263157894736842	4
-4	0.02564102564102564	4
-3	0.008928571428571428	4
-2	0.036290322580645164	4
-1	0.03308823529411765	4
0	0.03286384976525822	4
1	0.03484320557491289	4
2	0.012048192771084338	4
3	0.029850746268656716	4
4	0.01910828025477707	4
5	0.043209876543209874	4
1	0.0	4
2	0.0	4
3	0.0	4
4	0.2222222222222222	4
5	0.0	4
0	0.044444444444444446	4
1	0.045454545454545456	4
2	0.06493506493506493	4
3	0.03208556149732621	4
4	0.02834008097165992	4
5	0.016286644951140065	4
0	0.0625	4
1	0.021739130434782608	4
2	0.045454545454545456	4
3	0.041666666666666664	4
4	0.014705882352941176	4
5	0.0	4
-4	0.0	4
-3	0.022222222222222223	4
-2	0.1111111111111111	4
-1	0.0	4
0	0.12	4
1	0.0967741935483871	4
-3	0.2857142857142857	4
-2	0.3333333333333333	4
-1	0.0	4
0	1.0	4
1	0.14285714285714285	4
2	0.0	4
3	0.0	4
4	1.0	4
5	1.0	4
-3	0.030303030303030304	4
-2	0.0547945205479452	4
-1	0.06153846153846154	4
0	0.015384615384615385	4
1	0.034482758620689655	4
2	0.0	4
3	0.18181818181818182	4
4	0.0	4
5	0.2	4
-2	0.06666666666666667	4
-1	0.07407407407407407	4
0	0.13636363636363635	4
1	0.046153846153846156	4
2	0.1509433962264151	4
3	0.16666666666666666	4
4	0.1	4
5	0.058823529411764705	4
-1	0.0	4
0	0.1891891891891892	4
1	0.09467455621301775	4
2	0.12442396313364056	4
3	0.032407407407407406	4
4	0.0896551724137931	4
-4	0.0938337801608579	4
-3	0.065	4
-2	0.05075187969924812	4
-1	0.04046242774566474	4
0	0.054474708171206226	4
1	0.06511627906976744	4
2	0.05116279069767442	4
3	0.049079754601226995	4
4	0.07942238267148015	4
5	0.08482142857142858	4
1	0.05084745762711865	4
1	0.0	4
2	0.4807692307692308	4
3	0.625	4
4	0.47058823529411764	4
5	0.5102040816326531	4
-4	0.2	4
-3	0.0	4
-2	0.75	4
-1	0.38461538461538464	4
0	0.375	4
1	0.375	4
2	0.6666666666666666	4
3	0.5833333333333334	4
4	0.6	4
5	0.7	4
-3	0.046511627906976744	4
-2	0.10869565217391304	4
-1	0.05063291139240506	4
0	0.061224489795918366	4
1	0.29310344827586204	4
2	0.11627906976744186	4
3	0.19230769230769232	4
4	0.125	4
5	0.02631578947368421	4
-4	0.3333333333333333	4
-3	0.0	4
1	0.10256410256410256	4
1	0.5	4
0	0.0	4
1	0.1951219512195122	4
2	0.02857142857142857	4
3	0.21739130434782608	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
0	0.0	4
1	0.019801980198019802	4
2	0.007751937984496124	4
3	0.05309734513274336	4
4	0.0	4
5	0.03571428571428571	4
0	0.0	4
1	0.1417004048582996	4
2	0.0938337801608579	4
3	0.065	4
4	0.05075187969924812	4
5	0.04046242774566474	4
1	0.05263157894736842	4
2	0.024390243902439025	4
3	0.0	4
4	0.0	4
