EditorId	IssnId	gender
0	0	male
244	0	male
282	0	male
294	0	male
322	0	female
361	0	male
484	0	male
568	0	female
707	0	male
739	0	female
745	0	male
1013	0	male
1235	0	male
1243	0	female
1246	0	male
1385	0	male
1416	0	male
1448	0	male
1603	0	male
1703	0	male
1706	0	male
2033	0	male
2084	0	male
2104	0	male
2383	0	male
2583	0	male
2779	0	female
2850	0	male
2877	0	male
2880	0	male
2953	0	female
3052	0	male
3072	0	male
3076	0	male
3466	0	female
3494	0	male
3522	0	male
3584	0	male
3851	0	male
3902	0	male
4496	0	male
4699	0	male
4887	0	male
5085	0	male
5659	0	male
6528	0	male
6803	0	male
6916	0	male
6988	0	male
7161	0	male
7461	0	male
8024	0	male
8766	0	male
8812	0	male
9152	0	male
9186	0	male
9530	0	female
9792	0	male
9827	0	male
10143	0	female
10172	0	male
10205	0	male
10677	0	male
10935	0	male
10937	0	male
11599	0	male
11767	0	male
12417	0	male
12467	0	male
13234	0	male
13878	0	male
14326	0	male
14854	0	male
15150	0	male
15155	0	male
15924	0	male
16104	0	male
16651	0	male
17346	0	male
17556	0	male
18301	0	male
18368	0	male
18921	0	male
19025	0	male
19188	0	male
1	1	male
116	1	male
181	1	female
1279	1	male
2624	1	male
4762	1	male
5103	1	male
7070	1	male
8475	1	male
9798	1	male
10183	1	female
10884	1	male
15886	1	male
15897	1	male
18175	1	male
18570	1	female
18589	1	male
19698	1	male
2	2	male
106	2	male
610	2	male
2518	2	male
3175	2	male
3530	2	male
4536	2	female
4667	2	male
4925	2	female
5321	2	male
5623	2	male
5938	2	male
6194	2	male
6313	2	male
6775	2	male
6993	2	male
7089	2	male
7203	2	male
7216	2	male
8021	2	male
8149	2	male
9590	2	male
9776	2	female
11969	2	male
12512	2	male
12712	2	male
16010	2	male
16030	2	male
16373	2	male
16567	2	male
16998	2	male
18496	2	male
18499	2	male
18566	2	male
18804	2	male
19082	2	male
19272	2	male
19306	2	male
4	5	male
259	5	male
701	5	male
1023	5	female
1126	5	female
1206	5	male
1321	5	female
