NewAuthorId	PaperId	Year	JournalId
115595906	2000748708	2010	120502300
115595906	2025916138	2010	120502300
115595906	2050830063	2009	120502300
115595906	1968756702	2002	102889028
115595906	1985176984	2004	76695604
115595906	2007820008	1999	136340318
115595906	2020506753	1997	190640482
115595906	2031184524	2007	120502300
115595906	2031302465	2003	20257348
115595906	2031984176	2008	102889028
115595906	2032433243	1997	102889028
115595906	2036912862	2010	140251998
115595906	2044381437	2001	12418545
115595906	2048648855	2004	59702976
115595906	2055432992	2007	193677276
115595906	2064626387	2009	193677276
115595906	2064779657	2004	194292784
115595906	2069924461	2011	15649984
115595906	2084734631	2001	127706618
115595906	2087938091	2006	76695604
115595906	2095292620	2011	193677276
115595906	2103715122	2002	15649984
115595906	2104685492	1998	153476765
115595906	2120141514	2003	20257348
115595906	2146515728	2008	59702976
115595906	2163769876	2005	59702976
115595906	2185766718	2001	20257348
115595906	2198423896	1998	59702976
115595906	2200253476	1996	59702976
115595906	2250139568	1997	59702976
115595906	2277636960	2000	20257348
115595906	2294922700	1994	127706618
115595906	2412760157	1994	20257348
115595906	2052107674	1994	60362788
115595906	183900756	2014	182211142
115595906	1965628674	2009	128439998
115595906	1971893919	2005	42307217
115595906	1976603118	2014	41066938
115595906	1987022495	2009	152938505
115595906	1994888594	2009	193677276
115595906	2012108207	2004	128555845
115595906	2013595664	2004	183233548
115595906	2018957533	2010	183233548
115595906	2021245078	2012	152938505
115595906	2026636420	2013	185208586
115595906	2028149361	2006	41066938
115595906	2033843128	2013	152938505
115595906	2038283754	2005	106502101
115595906	2050356827	2003	42307217
115595906	2055381702	2010	168778273
115595906	2064786574	2003	183233548
115595906	2067379222	2012	120502300
115595906	2069259369	2001	44425019
115595906	2069368205	2010	152938505
115595906	2073318470	1992	175181960
115595906	2085071754	2007	20257348
115595906	2095227261	2005	183233548
115595906	2127072511	2009	96410829
115595906	2133789046	2006	186282544
115595906	2138136808	2006	20257348
115595906	2175387819	2015	196734849
115595906	2185010278	2000	20257348
115595906	2332084640	2016	2734324842
115595906	2409659318	2015	2764826640
115595906	2520470430	2015	140584875
115595906	2592840216	2017	202381698
115595906	2601567980	2017	132539235
115595906	2696357186	2017	202381698
115595906	2795713408	2018	125754415
115595906	2901675246	2018	41066938
115595906	2008238957	1992	9351502
115595906	2066757953	1993	203465130
19273516	1972011116	2009	193677276
19273516	1228743546	1998	175181960
19273516	1519269812	2013	15649984
19273516	1546681890	1998	176145209
19273516	1669010405	2000	188633547
19273516	1826445496	2016	190640482
19273516	1900489475	1997	20257348
19273516	1915725804	1994	20257348
19273516	1953440062	1996	20257348
19273516	1965482627	2002	193677276
19273516	1965871488	1999	190640482
19273516	1966597031	2004	59702976
19273516	1975754872	1997	127706618
19273516	1979851366	2012	190640482
19273516	1980828912	2001	193677276
19273516	1981287196	2014	12418545
19273516	1982584220	2001	157690423
19273516	1983590849	2012	72042703
19273516	1983601682	1996	188633547
19273516	1986560963	2012	190640482
19273516	1993653394	2013	193677276
19273516	1994257512	2010	127706618
19273516	1995247538	1998	15649984
19273516	1996208217	2002	102889028
19273516	1996981809	2012	127706618
19273516	1997506012	2011	69822372
19273516	1999062099	2012	72042703
19273516	1999330575	2003	193677276
19273516	2000379772	2002	190640482
19273516	2003939489	2011	102889028
19273516	2006328338	2009	193677276
19273516	2009317891	2002	104261359
19273516	2009763679	2012	20257348
19273516	2011516066	2011	193677276
19273516	2012106956	2012	72042703
19273516	2012566912	2010	72042703
19273516	2012912649	2009	59702976
19273516	2014598933	2010	193677276
19273516	2015126321	2002	12418545
19273516	2016400743	2012	12418545
19273516	2016443818	1996	15649984
19273516	2018167963	2001	190640482
19273516	2021343636	1997	199860775
19273516	2025198626	2014	5555990
19273516	2025732177	2005	127706618
19273516	2026398010	2005	20257348
19273516	2026453375	2003	12418545
19273516	2027133190	2010	193677276
19273516	2028402408	2009	193677276
19273516	2028512642	2005	20257348
19273516	2030732494	2012	193677276
19273516	2031579023	2003	193677276
19273516	2033132913	1996	45421690
19273516	2033566931	1998	193677276
19273516	2036973718	2009	127706618
19273516	2042183801	1998	193677276
19273516	2048164441	2004	72042703
19273516	2054431319	2011	12418545
19273516	2054587692	2001	127706618
19273516	2056337059	2000	190640482
19273516	2057124760	2012	170105747
19273516	2060572684	1998	127706618
19273516	2061555693	2004	59702976
19273516	2068187838	2002	146329739
19273516	2069432109	1999	15649984
19273516	2070434623	2009	72042703
19273516	2070705358	2012	127706618
19273516	2071683405	2001	127706618
19273516	2072036657	2009	20257348
19273516	2073807537	2011	72042703
19273516	2074924188	2009	72042703
19273516	2078272317	2001	9351502
19273516	2079971210	2011	193677276
19273516	2080173433	2005	20257348
19273516	2080222842	2012	20257348
