CitesFrom	BeingCited	NewAuthorId	Year
2498935646	2018167963	19273516	2006
1915725804	1897079341	19273516	1994
1974005550	1915725804	19273516	1994
1977518722	1915725804	19273516	2012
1977518722	2116479366	19273516	2012
1977518722	2003939489	19273516	2012
1977518722	2091290056	19273516	2012
1977518722	2080222842	19273516	2012
1981871816	1915725804	19273516	2001
1996268377	2042183801	19273516	2015
2000753759	1915725804	19273516	2003
2000753759	2345385770	19273516	2003
2001269799	1897079341	19273516	1998
2001269799	1915725804	19273516	1998
2001269799	2345385770	19273516	1998
2019774408	2042183801	19273516	2008
2032655589	2116479366	19273516	2006
2035647677	1915725804	19273516	1996
2036661665	2188384337	19273516	2009
2036661665	2089879125	19273516	2009
2036661665	2127484064	19273516	2009
2036661665	2116479366	19273516	2009
2090732040	1915725804	19273516	2001
2102185767	1915725804	19273516	2008
2102185767	2345385770	19273516	2008
2136237025	2042183801	19273516	2008
2136237025	1995247538	19273516	2008
2170717256	1915725804	19273516	1997
2170717256	2345385770	19273516	1997
2175049787	2042183801	19273516	2008
2175049787	1995247538	19273516	2008
2351558214	2118790426	19273516	2010
2351558214	2139196618	19273516	2010
2351558214	2113896022	19273516	2010
2351558214	2127484064	19273516	2010
2351558214	2143942602	19273516	2010
2479413268	2116479366	19273516	2007
2479413268	2069432109	19273516	2007
219399669	1915725804	19273516	2002
2000878346	2345385770	19273516	2007
2023125869	1953440062	19273516	2008
2039031569	2188384337	19273516	2005
2039031569	2089879125	19273516	2005
2039031569	1980828912	19273516	2005
2039031569	2116479366	19273516	2005
2039031569	2081789089	19273516	2005
2039031569	2000379772	19273516	2005
2039031569	2180852455	19273516	2005
2039031569	1999330575	19273516	2005
2050012779	2116479366	19273516	2012
2054501068	1953440062	19273516	2005
2072278127	2188384337	19273516	2003
2139657261	2116479366	19273516	2004
2152697223	2345385770	19273516	2003
2168907923	1953440062	19273516	2004
2181937716	1953440062	19273516	2013
2181937716	2345385770	19273516	2013
2287183930	1953440062	19273516	2013
2287183930	1980828912	19273516	2013
2589930233	1953440062	19273516	2017
2589930233	2118790426	19273516	2017
2589930233	2144108136	19273516	2017
2621478485	2345385770	19273516	2017
1970864770	1915725804	19273516	2001
2068658121	2042183801	19273516	2015
2101275612	2345385770	19273516	2007
2117701371	2089879125	19273516	2003
2124177023	2139196618	19273516	2011
2124177023	2127484064	19273516	2011
2138433940	2078272317	19273516	2006
2156935972	2113896022	19273516	2007
2156935972	2125640504	19273516	2007
2381540113	2139196618	19273516	2011
2381540113	2127484064	19273516	2011
2493475525	2096989146	19273516	2007
1973762258	2127484064	19273516	2007
1979074119	2127484064	19273516	2013
1979074119	2116479366	19273516	2013
2134543742	2127484064	19273516	2009
2146952398	2118790426	19273516	2011
2146952398	2127484064	19273516	2011
2739480343	2127484064	19273516	2009
2894530323	2345385770	19273516	2018
2236461938	2012912649	19273516	2015
1624362487	2139196618	19273516	2015
1624362487	1999062099	19273516	2015
1602853337	1965482627	19273516	2011
1979913254	2139196618	19273516	2014
1979913254	2090839913	19273516	2014
1979913254	2113896022	19273516	2014
1979913254	2113660726	19273516	2014
2003630571	2118790426	19273516	2010
2007394924	1966597031	19273516	2011
2007394924	1965871488	19273516	2011
2139196618	1546681890	19273516	2009
2139196618	1975754872	19273516	2009
2139196618	2084956397	19273516	2009
2139196618	2090839913	19273516	2009
2139196618	2102429484	19273516	2009
2139196618	2113896022	19273516	2009
2139196618	2125640504	19273516	2009
2139196618	2127484064	19273516	2009
2139196618	2101995089	19273516	2009
2139196618	2033566931	19273516	2009
2139196618	2113660726	19273516	2009
2139196618	2070434623	19273516	2009
2139196618	2000379772	19273516	2009
2139196618	2143942602	19273516	2009
2139196618	2061555693	19273516	2009
2139196618	2012912649	19273516	2009
2150869840	2139196618	19273516	2013
2150869840	2167660819	19273516	2013
2150869840	2143942602	19273516	2013
2150869840	2015239502	19273516	2013
2767540273	2139196618	19273516	2017
2767540273	1546681890	19273516	2017
2767540273	1897079341	19273516	2017
2767540273	1900489475	19273516	2017
2767540273	1975754872	19273516	2017
2767540273	1983601682	19273516	2017
2767540273	2021343636	19273516	2017
2767540273	2033132913	19273516	2017
2767540273	2084956397	19273516	2017
2767540273	2134057059	19273516	2017
2767540273	2027133190	19273516	2017
2767540273	2089879125	19273516	2017
