	affiliation	affiliationMag	if_same
1662	universita(c) libre de bruxelles, belgium	universite libre de bruxelles	1.0
1663	faculty of economics, cambridge univer- sity, cambridge cb3 9dd, uk	university of cambridge	1.0
1664	monash university, caulfield, victoria, australia	monash university clayton campus	1.0
1665	ucla anderson school of management, los angeles, california, usa	university of california los angeles	1.0
1666	university of new southwales, australia	university of new south wales	1.0
1667	dept. of economics, university of california at san diego (ucsd), la jolla, california, usa	university of california san diego	1.0
1668	dept. of economics, university of california at san diego (u	university of california san diego	1.0
1669	dept. of economics, university of southern cal- ifornia, los angeles, california, usa	university of southern california	1.0
1670	chung hua uni ver sity, taiwan jia hu liverpool hope university, uk	chung hua university	1.0
1671	dalian uni ver sity of technology, dalian, china	dalian university of technology	1.0
1672	uni ver sity of tabriz, tabriz, iran m. senthil kumar psg college of technology, coimbatore, india	university of tabriz	1.0
1673	university of texas, san antonio, tx, usa	university of texas at san antonio	1.0
1674	rochester inst. of tech., rochester, ny, usa	rochester institute of technology	1.0
1675	uni ver sity of texas, san antonio, tx, usa	university of texas system	1.0
1676	beijing jiaotong uni ver sity, china	beijing jiaotong university	1.0
1677	university of the dist. of columbia, washington, dc, usa	university of the district of columbia	1.0
1678	state uni ver sity of new york at fredonia, ny, usa	state university of new york at fredonia	1.0
1679	czech technical uni ver sity in prague, czech republic	czech technical university in prague	1.0
1680	uni ver sity of adelaide, australia	university of adelaide	1.0
1681	uni ver sity of tabriz, tabriz, iran zeeshan kaleem comsats uni ver sity, islamabad, pakistan	university of tabriz	1.0
1682	uni ver sity of texas, san antonio, tx, usa	university of texas at san antonio	1.0
1683	uni ver sity of tabriz, tabriz, iran slim kallel uni ver sity of sfax, tunisia	university of tabriz	1.0
1684	beijing jiaotong uni ver sity, beijing, china	beijing jiaotong university	1.0
1685	uni ver sity of tabriz, tabriz, iran rajesh karunamurthy telus, vancouver, canada	university of tabriz	1.0
1686	uni ver sity of tabriz, tabriz, iran zhanpeng jin state uni ver sity of new york, binghamton ny, usa	university of tabriz	1.0
1687	the university of wisconsin-milwaukee, wisconsin, usa	university of wisconsin milwaukee	1.0
1688	nc state university, usa	north carolina state university	1.0
1689	(uniuersity of toronto, toronto, ontario, canada	university of toronto	1.0
1690	nuffi eld department of surgical sciences oxford university john radcliffe hospital oxford, uk	university of oxford	1.0
1691	nufi! eld department of surgical sciences oxford university john radcliffe hospital oxford, uk	university of oxford	1.0
1692	swiss federal lab. for materials science and technology, empa, aoeberlandstrasse 129, ch-8600, da 1/4 bendorf, switzerland	swiss federal laboratories for materials science and technology	1.0
1693	swiss federal lab. for materials science and technology, empa, aoeberlandstrasse 129, ch-8600 da 1/4 bendorf, switzerland	swiss federal laboratories for materials science and technology	1.0
1694	ford professor of engineering, ralph m. parsons laboratory, dept. of civil engineering, bldg. 48-311. massachusetts inst. of technology, cambridge. ma 02139, usa	massachusetts institute of technology	1.0
1695	ford professor of engineering. ralph m. parsons laboratory, dept. of civil engineering, bldg. 48-311, massachusetts inst. of technology, cambridge, ma 02139, usa	massachusetts institute of technology	1.0
1696	(universita(c) pierre et marie curie, france	pierre and marie curie university	1.0
1697	university of aston, birmingham, england jian-xin yuan institute of rock and soil mechanics, wuhan, china	aston university	1.0
1698	the universrty of sydney. new south wales, australra r. nova mrlan unrversrty of technology (politecnico), italy	university of sydney	1.0
1699	indian institute of technology, new delhi, india	indian institute of technology delhi	1.0
1700	university of illinois at urbana, coordinated science laboratory, 1101 west springfield avenue, urbana, il 61801, usa	university of illinois at urbana champaign	1.0
1701	state university of new york at geneses, ny, usa	state university of new york at purchase	1.0
1702	bucharest university, j. b. mcleod, wadham college, ox r. aris, university of minnesota, r-70109 bucuresti, rumania ford, england minneapolis, mn, usa	university of bucharest	1.0
1703	university of the witwaters- rand, department of metallurgy, 1 j,m smuts avenue. johannesburg 2001, south africa	university of the witwatersrand	1.0
1704	university of the witwaters- rand, department of metallurgy, 1 jan smuts avenue, johannesburg 2001, south africa	university of the witwatersrand	1.0
1705	university of the witwaters- rand, department of metallurgy, i jan smuts avenue, johannesburg 2001, south africa	university of the witwatersrand	1.0
1706	universite pierre et marie curie 75230 paris cedex os, france	pierre and marie curie university	1.0
1707	university di catania i-95129 catania, italy	university of catania	1.0
1708	department of electrical, electronic & information engineering, city university, northampton square, london ec1v ohb, uk	city university london	1.0
1709	department of electrical, electronic & information engineering, city university. northampton square, london eciv ohb, uk	city university london	1.0
1710	department of electrical, electronic & information engineering, city university, northampton square, london ec1vohb, uk	city university london	1.0
1711	department of chemistry, university of durham, durham dh1 3le, uk	durham university	1.0
1712	free university berlin, germany	free university of berlin	1.0
1713	school of geography and planning, sun yat-sen university (guangzhou, p.r. china	sun yat sen university	1.0
1714	sc ool of geography and planning, sun yat-sen university (guangzhou, p.r. china	sun yat sen university	1.0
1715	school of architecture, university of texas (austin, tx, usa	university of texas at austin	1.0
1716	school of archit cture, university of texas (austi , tx, usa	university of texas at austin	1.0
1717	university of osaka, osaka, japan	osaka university	1.0
1718	kings college london (kqc). london. uk	king s college london	1.0
1719	kings college london (kqc), london. uk	king s college london	1.0
1720	department of food science and human nutrition, michigan state univer- sity, east lansing, michigan 48824, usa	michigan state university	1.0
1721	universidade federal dio rio de janeiro, brazil	federal university of rio de janeiro	1.0
1722	the universit~ of leeds. uk	university of leeds	1.0
1723	university of uppsala, biomedical pharmaceutical chemistry, box 574, s-751 23 uppsala, sweden	uppsala university	1.0
1724	department of chemical engineering, university of texas, austin, tx 7871 2-1062, usa	university of texas at austin	1.0
1725	f. ciardelli university of texas, austin, tx, usa	university of texas at austin	1.0
1726	(chemistry and synthesis) irc in polymer science andtechnology, university of durham, durham dh1 3le, uk	durham university	1.0
1727	frs. dphtl. fpri, flnstp untverslty of leeds, uk	university of leeds	1.0
1728	university of texas, austin, tx, usa	university of texas at austin	1.0
1729	phd, mlnstp department of physics, queen mary college, london e1 4ns, uk	queen mary university of london	1.0
1730	dsc, phd, flnstp untverslty of reading, lik h. kawai kyoto universtty. japan	university of reading	1.0
1731	phd irc in polymer science and technology, university of durham, uk	durham university	1.0
1732	department of chemical engineering, university of texas, austin, tx 78712-1062, usa	university of texas at austin	1.0
1733	frs, phd, scd universtty of liverpool. uk	university of liverpool	1.0
1734	irc in polymer science and technology, university of durham, uk	durham university	1.0
1735	university of durham, uk	durham university	1.0
1736	the chinese academy of science, beijing, china	chinese academy of sciences	1.0
1737	(chemistry and synthesis) irc in polymer science and technology, university of durham, durham dh1 3le, uk	durham university	1.0
1738	phd department of chemistry, university of durham, durham dh1 3le, uk	durham university	1.0
1739	the chinese academy of science, beijing, china	chinese academy of fishery sciences	1.0
1740	phd, mlnstp queen mary college, london, uk	queen mary university of london	1.0
1741	case western reserve untversny. cleveland, oh, usa	case western reserve university	1.0
1742	university of southern queen	university of southern queensland	1.0
1743	university of massachusetts at amherst, amherst, ma, usa	university of massachusetts amherst	1.0
1744	oak ridge national labcxatoty, oak ridge, 11% usa	oak ridge national laboratory	1.0
1745	embry-riddle aeronautical university, daytona beach, florida, usa	embry riddle aeronautical university	1.0
1746	university of southern queensl	university of southern queensland	1.0
1747	university of southern quee	university of southern queensland	1.0
1748	university of texas at austin, usa	university of texas system	1.0
1749	washington university, usa	washington university in st louis	1.0
1750	university of wisconsin, usa	university of wisconsin madison	1.0
1751	washington university, usa	university of washington	1.0
1752	department of applied physics, delfl university of technology, p.o. box 5046, 2600 ga delft, the netherlands	delft university of technology	1.0
1753	research center for advanced science and technology, the university o1 tokyo, meguro, tokyo 153, japan	university of tokyo	1.0
1754	department of applied physics, technical university delft, p.o. box 5046, 2600 ga delft, the netherlands	delft university of technology	1.0
1755	department of applied physics, technical university delft, po. box 5046, 2600 ga delft, the netherlands	delft university of technology	1.0
1756	a%0cole polytechnique fa(c)da(c)rale de lausanne (epfl), lausanne, switzerland	ecole polytechnique federale de lausanne	1.0
1757	universita(c) de la rochelle, france	university of la rochelle	1.0
1758	national institute of applied sciences, lyon, france	institut national des sciences appliquees de lyon	1.0
1759	university of colorado at boulder, boulder, usa	university of colorado boulder	1.0
1760	universite de la rochelle, france	university of la rochelle	1.0
1761	university of texas, houston, tx george paxinos, university of new south wales, sydney, australia	university of texas health science center at houston	1.0
1762	division of life sciences, the umversity of texas at san antonio, san antonio, texas 78285	university of texas at san antonio	1.0
1763	school of information technology and electrical engineering the univ. of queensland brisbane, 4072, queensland aus	university of queensland	1.0
1764	department of engineering physics, a%0cole polytechnique de montra(c)al, montra(c)al, canada	ecole polytechnique de montreal	1.0
1765	department of chemistry university of rome 'la sapienza' piazzale aldo moro, 5 00185 rome, italy	sapienza university of rome	1.0
1766	department of chemistry university of rome aeur~la sapienzaaeur(tm) piazzale aldo moro, 5 00185 rome, italy	sapienza university of rome	1.0
1767	deparmwnt of chemistry university of rome 'la sapienza' pia-zale a/do moro, 5 00/85 rome, italy special issues	sapienza university of rome	1.0
1768	"department of chemistry, university of rome ""la sapienza' piazzale aido moro, 5 00185 rome, italy"	sapienza university of rome	1.0
1769	department of chemistry university of rome 'la sapienza' piazzale aldo moro. 5 00185 rome. italy	sapienza university of rome	1.0
1770	"department of chemistry universi~. of rome 'la sapienza "" piazzale aido moro, 5 00185 rome, italy"	sapienza university of rome	1.0
1771	department of chemistry university of rome ~la sapienza' piazzale aido moro, 5 00185 rome, italy	sapienza university of rome	1.0
1772	n i los university of utrecht janskerhof3 3512 bk utrecht netherlands	utrecht university	1.0
1773	associate dnectoi, nilos. university of utrecht. the netherlands	utrecht university	1.0
1774	nilos, university of utrecht, janskerhof 3, 3512 bk utrecht, netherlands	utrecht university	1.0
1775	highway safety research center, university of north carolina, chapel hill nc 27514, u.s.a.	university of north carolina at chapel hill	1.0
1776	institute of systems science, chinese academy of science, beijing 100080, p.r. china	chinese academy of sciences	1.0
1777	johns hopkins university, baltimore, usa	johns hopkins university school of medicine	1.0
1778	department of mri, the first affiliated hospital of zhenzhou university, zhengzhou, china	zhengzhou university	1.0
