	original	normalized
737	review and special projects editors	review and special projects editor
738	social media editors	social media editor
739	basic science assistant editors	basic science assistant editor
740	annotated bibliography editor	annotated bibliography editor
741	disciplinary dialogues editors	disciplinary dialogues editor
742	editor (asian-pacific)	editor (asian pacific)
743	editor (europe)	editor (europe)
744	editor (north-america)	editor (north america)
745	executive editorial board members	executive editorial board member
746	topics review editor	topics review editor
747	subject editor for civil structures and construction materials	subject editor for civil structures and construction materials
748	subject editor for eddy currents and magnetic methods	subject editor for eddy currents and magnetic methods
749	subject editor for ultrasonics	subject editor for ultrasonics
750	subject editor for ultrasonics and thermal waves	subject editor for ultrasonics and thermal waves
751	subject editor for x-ray, numerical signal processing, and ultrasonics	subject editor for x ray, numerical signal processing, and ultrasonics
752	subject editor for nde applications	subject editor for nde applications
753	reviews associate editor	reviews associate editor
754	features editors	features editor
755	associate editorial board	associate editorial board
756	senior area editor	senior area editor
757	honorary associate editors	honorary associate editor
758	corresponding editors	corresponding editor
759	managing board	managing board
760	associate board	associate board
761	vice editor	vice editor
762	editor in chief /director	editor in chief /director
763	editor in chief emeritus	editor in chief emeritus
764	editor, north america and asia/pacific	editor, north america and asia/pacific
765	editor, europe and south america	editor, europe and south america
766	editor, south and southeast asia and oceania	editor, south and southeast asia and oceania
767	board of the jecs trust	board of the jecs trust
768	editorial board (software section)	editorial board (software section)
769	editorial board (regular section)	editorial board (regular section)
770	reviews only (commissioned)	reviews only (commissioned)
771	industry news editor	industry news editor
772	regional editor (asia)	regional editor (asia)
773	djr editors	djr editor
774	djr advisory editors	djr advisory editor
775	djr committee members	djr committee member
776	djr advisors	djr advisors
777	physics advisory editors	physics advisory editor
778	associate editors - accounting	associate editor accounting
779	associate editors - finance	associate editor finance
780	book reviewer	book reviewer
781	associate editor, innovation	associate editor, innovation
782	industrial board members	industrial board member
783	senior consulting editors	senior consulting editor
784	cme co-editors	cme co editor
785	consulting and founding editor	consulting and founding editor
786	specialist editor	specialist editor
787	american editor	american editor
788	associate editor to asian editor	associate editor to asian editor
789	reviewing committee	reviewing committee
790	director / editor-in-chief	director / editor in chief
791	associate director / directora asociada	associate director / directora asociada
792	associate editors / editores y editoras asociados/as	associate editor / editores y editoras asociados/as
793	invited editors / editores invitados	invited editor / editores invitados
794	co-founder and senior editor-in-chief: (1987-2000)	co founder and senior editor in chief: (1987 2000)
795	editor-in-chief: (2000-2010)	editor in chief: (2000 2010)
796	publicity co-chairs	publicity co chairs
797	john f. mcdermott, md, assistant editor-in-residence	john f. mcdermott, md, assistant editor in residence
798	international editors-at-large	international editor at large
799	editors-at-large for methodology	editor at large for methodology
800	therapeutic reviews	therapeutic reviews
801	founding and executive editor	founding and executive editor
802	founding editor-in-chief emeritus	founding editor in chief emeritus
803	statistical advisor	statistical advisor
804	student editorial board	student editorial board
805	emeritus board members	emeritus board member
806	board of review	board of review
807	associate editor, health care improvement and evaluation	associate editor, health care improvement and evaluation
808	assistant editor, statistics	assistant editor, statistics
809	commissioning editor	commissioning editor
810	regular editorial board members	regular editorial board member
811	review board members	review board member
812	founder and editor emeritus	founder and editor emeritus
813	interim editor-in-chief	interim editor in chief
814	reviews in basic and clinical gastroenterology and hepatology	reviews in basic and clinical gastroenterology and hepatology
815	biostatistical editors	biostatistical editor
816	editorial fellow	editorial fellow
817	aga institute staff	aga institute staff
818	education editor	education editor
819	sr. publication coordinator	sr. publication coordinator
820	founding editor and editor emeritus	founding editor and editor emeritus
821	associate editor in chief, special issues	associate editor in chief, special issues
822	chairperson, advisory board	chairperson, advisory board
823	subject area editors	subject area editor
824	chairman of the editorial board	chairman of the editorial board
825	past chairmen of the editorial board	past chairmen of the editorial board
826	policy board	policy board
827	area editors	area editor
828	members of the editorial review board	member of the editorial review board
829	subject editor for fracture mechanics	subject editor for fracture mechanics
830	subject editor for notch mechanics	subject editor for notch mechanics
831	subject editor for computational fracture mechanics	subject editor for computational fracture mechanics
832	editor: food mycology	editor: food mycology
833	editor-in-chief, europe	editor in chief, europe
834	editor accelerated publications	editor accelerated publications
835	editor special issues	editor special issues
836	editor, asia-oceania	editor, asia oceania
837	editor, america	editor, america
838	advisory editors, europe	advisory editor, europe
839	advisory editors, america	advisory editor, america
840	advisory editors, asia-oceania	advisory editor, asia oceania
841	coordinating editors	coordinating editor
842	section editor: addiction and development	section editor: addiction and development
843	section editor: autism	section editor: autism
844	section editor: down's syndrome	section editor: down's syndrome
845	section editor: epigenetics	section editor: epigenetics
846	section editor: growth factors & development	section editor: growth factors & development
847	section editor: hypoxia	section editor: hypoxia
848	section editor: imaging	section editor: imaging
849	section editor: schizophrenia	section editor: schizophrenia
850	section editor: stem cells	section editor: stem cells
851	subject editor, algorithms and architecture	subject editor, algorithms and architecture
852	subject editor, system-level  design and high-level synthesis	subject editor, system level design and high level synthesis
853	subject editor, digital, analog and  mixed signal design	subject editor, digital, analog and mixed signal design
854	subject editor, implementations and layout synthesis	subject editor, implementations and layout synthesis
855	subject editor, ip integration and reuse	subject editor, ip integration and reuse
856	subject editor, embedded, reconfigurable and cyberphysical systems	subject editor, embedded, reconfigurable and cyberphysical systems
857	subject editor, low-power circuits and systems	subject editor, low power circuits and systems
858	opinions editor	opinions editor
859	editor emerita	editor emerita
860	manuscripts can be submitted to any of the 4 editors	manuscripts can be submitted to any of the 4 editor
861	membership of the board	memberhip of the board
862	ex-officio membership of the board	ex officio memberhip of the board
863	editorial assistant / living tree project	editorial assistant / living tree project
864	honorary editorial advisory board	honorary editorial advisory board
865	co-ordinating editor	co ordinating editor
866	editor emiriti	editor emiriti
867	senior editor, medical anthropology	senior editor, medical anthropology
868	associate editor, medical anthropology	associate editor, medical anthropology
869	senior co-editors, health economics	senior co editor, health economics
870	senior co-editors, social epidemiology	senior co editor, social epidemiology
871	editorial associate, social epidemiology	editorial associate, social epidemiology
872	senior editor, medical geography	senior editor, medical geography
873	editorial assistant: medical geography	editorial assistant: medical geography
874	senior editor, health policy	senior editor, health policy
875	associate co-editors, health policy	associate co editor, health policy
876	editorial assistant, health policy	editorial assistant, health policy
877	senior editor, health psychology	senior editor, health psychology
878	editorial associates, health psychology	editorial associates, health psychology
879	senior editor, medical sociology	senior editor, medical sociology
880	editorial assistant, medical sociology	editorial assistant, medical sociology
881	rifm managing editor	rifm managing editor
882	associate editor (north america)	associate editor (north america)
883	associate editor (china)	associate editor (china)
884	academic editor	academic editor
885	ifip tc-11 editor	ifip tc 11 editor
886	statistical reviewer	statistical reviewer
887	action editors	action editor
888	associate editor-in-chief, software section	associate editor in chief, software section
889	advisory board, software section	advisory board, software section
890	former editorial board members	former editorial board member
891	area editor: approximation and heuristics	area editor: approximation and heuristics
892	area editor: continuous optimization	area editor: continuous optimization
893	area editor: financial engineering	area editor: financial engineering
894	area editor: game theory	area editor: game theory
895	area editor: graphs and networks	area editor: graphs and networks
896	area editor: inventory control	area editor: inventory control
897	area editor: linear and stochastic optimization	area editor: linear and stochastic optimization
898	area editor: logistics and revenue management	area editor: logistics and revenue management
899	area editor: mixed integer optimization	area editor: mixed integer optimization
900	area editor: reliability and maintenance optimization	area editor: reliability and maintenance optimization
901	area editor: scheduling	area editor: scheduling
902	area editor: stochastic networks and queues	area editor: stochastic networks and queues
903	translation editor	translation editor
904	co-editor for special issues	co editor for special issues
905	development editor	development editor
906	co-editores	co editores
907	international board of editors	international board of editor
908	editor- in-chief	editor in chief
909	subject editor for biomaterial adhesion	subject editor for biomaterial adhesion
910	editors-in-chief emeritus	editor in chief emeritus
911	reviewing editors	reviewing editor
912	senior associate editor (special issues and reviews)	senior associate editor (special issues and reviews)
913	reviews and special content editor	reviews and special content editor
914	regional editors asia	regional editor asia
915	regional editor europe	regional editor europe
916	regional editor usa	regional editor usa
917	research methodology editors	research methodology editor
918	department editors	department editor
919	emeritus editors in chief	emeritus editor in chief
920	editor boolean and pseudo-boolean functions	editor boolean and pseudo boolean functions
921	editors computational molecular biology	editor computational molecular biology
922	editor game theory	editor game theory
923	previous editors-in-chief	previous editor in chief
924	special editors	special editor
925	pearls reviewers	pearls reviewers
926	editorial manager for special issues	editorial manager for special issues
927	publicity chair	publicity chair
928	journal-first chair	journal first chair
929	distinguished journal editorial board	distinguished journal editorial board
930	editorial board editors	editorial board editor
931	honorary board	honorary board
932	associate editors for display technologies & human factors	associate editor
933	previous editors in chief	previous editor in chief
934	editors for general degradation	editor for general degradation
935	editor for biodegradable and bio-based polymers	editor for biodegradable and bio based polymers
936	editor for fire retardants	editor for fire retardants
937	editor for bio-based and bio-derived flame retardants, thin coatings, textiles and nanocomposites	editor for bio based and bio derived flame retardants, thin coatings, textiles and nanocomposites
938	reviews editor (including commentaries and book reviews)	reviews editor (including commentaries and book reviews)
939	regional editor (asia and pacific)	regional editor (asia and pacific)
940	associate editor (asia and pacific)	associate editor (asia and pacific)
941	technical committee	technical committee
942	outgoing editor-in-chief	outgoing editor in chief
943	associate editor – reviews	associate editor – reviews
944	associate editor – systematic reviews	associate editor – systematic reviews
945	former editors in chief	former editor in chief
946	for reviews	for reviews
947	honorary board member	honorary board member
948	editor-reviews	editor reviews
949	editorial advisory panel	editorial advisory panel
950	chairman of advisory board	chairman of advisory board
951	senior advisory board	senior advisory board
952	lost and found editor	lost and found editor
953	reviews and commentary editor	reviews and commentary editor
954	board of advisory editors	board of advisory editor
955	co-ordinating editor in chief	co ordinating editor in chief
956	ai editor	ai editor
957	cme editors	cme editor
958	gray zone editor	gray zone editor
959	methodology editor	methodology editor
960	deputy editor, review	deputy editor, review
961	deputy editor, methodology	deputy editor, methodology
962	deputy editor, social media	deputy editor, social media
963	assh journal advisory group	assh journal advisory group
964	gene wiki editors	gene wiki editor
965	founding/honorary editor	founding/honorary editor
966	special sections editor	special sections editor
967	international subject editors	international subject editor
968	board of section editors	board of section editor
969	ibro reports editor-in-chief	ibro reports editor in chief
970	associate editor (statistics)	associate editor (statistics)
971	senior editorial advisory board	senior editorial advisory board
972	book review panel	book review panel
973	members until december 2019	member until december 2019
974	members until december 2020	member until december 2020
975	members until december 2021	member until december 2021
976	editorial  board	editorial board
977	reproducibility editor	reproducibility editor
978	editorial board: algorithms, automata, complexity and games (tcs-a)	editorial board: algorithms, automata, complexity and games (tcs a)
979	editorial board: logic, semantics and theory of programming (tcs-b)	editorial board: logic, semantics and theory of programming (tcs b)
980	editorial board: theory of natural computing (tcs-c)	editorial board: theory of natural computing (tcs c)
981	board of honorary editors	board of honorary editor
982	subject assistant editors	subject assistant editor
983	cnrc editors	cnrc editor
984	cnrc advisory board	cnrc advisory board
985	senior members	senior member
986	founding and advising editor	founding and advising editor
987	executive board member (editorial)	executive board member (editorial)
988	special issues and reviews editor	special issues and reviews editor
989	surveys editor	surveys editor
990	editor for ex-mundo astronautico	editor for ex mundo astronautico
991	vice chair	vice chair
992	senior manuscript editor	senior manuscript editor
993	editorial council	editorial council
994	past managing editors	past managing editor
995	assistant to the editors	assistant to the editor
996	founding honorary editor	founding honorary editor
997	service research	service research
998	area editor for security & privacy	area editor for security & privacy
999	area editor for signal and image processing	area editor for signal and image processing
1000	area editor for wireless systems	area editor for wireless systems
1001	emeritus editor (1989-2009)	emeritus editor (1989 2009)
1002	founding editor (1973-2010)	founding editor (1973 2010)
1003	editor for europe & america	editor for europe & america
1004	special issues and mini-reviews editor	special issues and mini reviews editor
1005	editorial board members	editorial board member
1006	editor -in- chief	editor in chief
1007	editorial advisory board	editorial advisory board
1008	reviews and special issue editor	reviews and special issue editor
1009	statistical editor emeritus	statistical editor emeritus
1010	nephrology digest editor	nephrology digest editor
1011	associate editor for special issues	associate editor
1012	associate editor for book reviews	associate editor
1013	associate editor for target and position articles	associate editor
1014	associate editor for methodological papers	associate editor
1015	advisory board for industrial marketing management summits	advisory board for industrial marketing management summits
1016	specialist editors	specialist editor
1017	founding editor-in-chief (series b)	founding editor in chief (series b)
1018	editors (toruń)	editor (toruń)
1019	founding editor and editor-in-chief 1969-2010	founding editor and editor in chief 1969 2010
1020	principal editors	principal editor
1021	associate principal editors	associate principal editor
1022	baseline editor	baseline editor
1023	news editor	news editor
1024	editor in chief	editor in chief
1025	assistant editor	assistant editor
1026	contemporary reviews in critical care medicine	contemporary reviews in critical care medicine
1027	contemporary reviews in sleep medicine	contemporary reviews in sleep medicine
1028	academic advisory board	academic advisory board
1029	lead editor	lead editor
1030	associate chief editors	associate chief editor
1031	chief editor, for special issues and ‘citation classics’ papers	chief editor, for special issues and ‘citation classics’ papers
1032	board of subject editors	board of subject editor
1033	editors and scientific committee	editor and scientific committee
1034	distinguished editors	distinguished editor
1035	supervisory editors	supervisory editor
1036	assistant to u. belluco	assistant to u. belluco
1037	editors spectrochimica acta reviews	editor spectrochimica acta reviews
1038	chairman editorial advisory board	chairman editorial advisory board
1039	honorary members	honorary member
1040	honorary advisory editor	honorary advisory editor
1041	former advisor	former advisor
1042	advisory editors	advisory editor
1043	past-editor	past editor
1044	european nuclear society (ens) advisor	european nuclear society (ens) advisor
1045	emeritus principal editor	emeritus principal editor
1046	editorial advisers	editorial advisers
1047	managing editor of the section on computational algebra	managing editor of the section on computational algebra
1048	scientific editors (elsevier, cambridge, ma, usa)	scientific editor (elsevier, cambridge, ma, usa)
1049	mini reviews editor	mini reviews editor
1050	mini reviews co-editor	mini reviews co editor
1051	tutorial editor	tutorial editor
1052	emeritus honorary board	emeritus honorary board
1053	secretary-treasurer	secretary treasurer
1054	editor - optimization in systems and control	editor optimization in systems and control
1055	editor - nonlinear systems and control	editor nonlinear systems and control
1056	editor - adaptive and distributed parameter systems	editor adaptive and distributed parameter systems
1057	editor - control system applications	editor control system applications
1058	editor - networks in systems and control	editor networks in systems and control
1059	editor - system and control theory	editor system and control theory
1060	editor - system identification and filtering	editor system identification and filtering
1061	editor - survey papers	editor survey papers
1062	editor - rapid publications	editor rapid publications
1063	editor - book reviews	editor book reviews
1064	founding editor-in-chief (1969 - 1993)	founding editor in chief (1969 1993)
1065	editor-in-chief emeritus (1994 - 2003)	editor in chief emeritus (1994 2003)
1066	editor-in-chief emeritus (2004 - 2014)	editor in chief emeritus (2004 2014)
1067	editor-in-chief emeritus (2014 - 2017)	editor in chief emeritus (2014 2017)
1068	statistical review board	statistical review board
1069	handling associate editors	handling associate editor
1070	editor-in-chief 1992-2006	editor in chief 1992 2006
1071	editor-in-chief 2006-2015	editor in chief 2006 2015
1072	consultative board	consultative board
1073	commissioning editors	commissioning editor
1074	co-chief editors	co chief editor
1075	scientific advisors to the editors	scientific advisors to the editor
1076	division editors	division editor
1077	former emeritus editor-in-chief	former emeritus editor in chief
1078	clinical review editor	clinical review editor
1079	psychopharmacology updates editor	psychopharmacology updates editor
1080	governors and board directors	governors and board directors
1081	2019 annual meeting chair	2019 annual meeting chair
1082	aclp executive director (ex officio)	aclp executive director (ex officio)
1083	advisory editors: breast	advisory editor: breast
1084	advisory editors: cardiac/inc. interventional	advisory editor: cardiac/inc. interventional
1085	advisory editors: ent/maxillofacial	advisory editor: ent/maxillofacial
1086	advisory editors: gastrointestinal (inc. interventional)	advisory editor: gastrointestinal (inc. interventional)
1087	advisory editors: guidelines, educational and manpower	advisory editor: guidelines, educational and manpower
1088	advisory editors: musculoskeletal	advisory editor: musculoskeletal
1089	advisory editors: neurological	advisory editor: neurological
1090	advisory editors: oncological radiology (inc. interventional)	advisory editor: oncological radiology (inc. interventional)
1091	advisory editors: paediatric	advisory editor: paediatric
1092	advisory editors: pancreatic/hepato-biliary (inc. interventional)	advisory editor: pancreatic/hepato biliary (inc. interventional)
1093	advisory editors: radiology systems/pacs	advisory editor: radiology systems/pacs
1094	advisory editors: radionuclide radiology/pet	advisory editor: radionuclide radiology/pet
1095	advisory editors: thoracic	advisory editor: thoracic
1096	advisory editors: uro-genital (inc. interventional)	advisory editor: uro genital (inc. interventional)
1097	advisory editors: vascular (inc. interventional)	advisory editor: vascular (inc. interventional)
1098	emeritus board member	emeritus board member
1099	editorial specialists	editorial specialists
1100	reports editors	reports editor
1101	senior editorial advisors	senior editorial advisors
1102	international advisory panel	international advisory panel
1103	supplements editor	supplements editor
1104	industry representatives	industry representatives
1105	principal deputy editor	principal deputy editor
1106	editorial process manager	editorial process manager
1107	cells to surgery quiz editor	cells to surgery quiz editor
1108	meet the investigator editor	meet the investigator editor
1109	meeting reports section editor	meeting reports section editor
1110	podcast editors	podcast editor
1111	snapshotdx quiz editor	snapshotdx quiz editor
1112	action editor	action editor
1113	directing editor, the franklin institute	directing editor, the franklin institute
1114	senior editorial assistants	senior editorial assistants
1115	senior editor-in-chief	senior editor in chief
1116	honorary regional editors	honorary regional editor
1117	chief editor, deputy chief editor	chief editor, deputy chief editor
1118	invited editor	invited editor
1119	biostatistics editor	biostatistics editor
1120	publications committee	publications committee
1121	board of regents	board of regents
1122	general director	general director
1123	consulting technical editor	consulting technical editor
1124	clinical statistical reviewer	clinical statistical reviewer
1125	technical biomedical reviewer	technical biomedical reviewer
1126	technical reviewer	technical reviewer
1127	electronic supporting staff	electronic supporting staff
1128	executive associate editor-in-chief	executive associate editor in chief
1129	editor, non orthopaedic	editor, non orthopaedic
1130	editor, cme (bota)	editor, cme (bota)
1131	associate editors designated by the affiliated societies	associate editor designated by the affiliated societies
1132	deputy editor, clinical research	deputy editor, clinical research
1133	deputy editor, statistics	deputy editor, statistics
1134	deputy editor, basic and translational research	deputy editor, basic and translational research
1135	associate editors, statistics	associate editor, statistics
1136	associate editor, social media and correspondence	associate editor, social media and correspondence
1137	assistant editors – social media	assistant editor – social media
1138	yearly review editor	yearly review editor
1139	junior associate editor and method advisor	junior associate editor and method advisor
1140	series editor	series editor
1141	clinical editor	clinical editor
1142	senior editorial advisor	senior editorial advisor
1143	surgery and clinical anatomy for the mrcs exam – series editor	surgery and clinical anatomy for the mrcs exam – series editor
1144	co-founding editors	co founding editor
1145	digital psychiatry editor	digital psychiatry editor
1146	emeritus senior editor	emeritus senior editor
1147	emeritus editorial board	emeritus editorial board
1148	editorial advisory committee	editorial advisory committee
1149	emeritus and immediate past editor	emeritus and immediate past editor
1150	the council for the advancement of nursing science representatives	the council for the advancement of nursing science representatives
1151	editor-elect	editor elect
1152	senior statistical and methodological advisor	senior statistical and methodological advisor
1153	statistical and methodological advisors	statistical and methodological advisors
1154	senior science and  editorial consultants	senior science and editorial consultants
1155	overseeing editor	overseeing editor
1156	honarary editorial board	honarary editorial board
1157	series editor: geriatrics for the oncologist	series editor: geriatrics for the oncologist
1158	international news editor	international news editor
1159	editorial fellows	editorial fellows
1160	north american regional editor	north american regional editor
1161	senior deputy editor	senior deputy editor
1162	case reports editor	case reports editor
1163	editorial consultant	editorial consultant
1164	trophoblast research editor	trophoblast research editor
1165	trophoblast research co-editor	trophoblast research co editor
1166	trophoblast research editors emeritus	trophoblast research editor emeritus
1167	founding members	founding member
1168	editors' council	editor' council
1169	specialist assessor	specialist assessor
1170	review/update	review/update
1171	junior editor	junior editor
1172	electrocardiology and cardiac devices	electrocardiology and cardiac devices
1173	resident editors	resident editor
1174	editorial board: term ending 2018	editorial board: term ending 2018
1175	editorial board: term ending 2020	editorial board: term ending 2020
1176	editorial board: term ending 2022	editorial board: term ending 2022
1177	editorial board: term ending 2024	editorial board: term ending 2024
1178	immediate past editor	immediate past editor
1179	review section	review section
1180	editors-in-chief	editor in chief
1181	assistant subject editors	assistant subject editor
1182	financial manager	financial manager
1183	consulting editor-in-chief	consulting editor in chief
1184	eapm pages editor	eapm pages editor
1185	literature review editor	literature review editor
1186	section editor (basic immunology)	section editor (basic immunology)
1187	section editor (clinical studies)	section editor (clinical studies)
1188	associate editors for the americas	associate editor
1189	editor for europe	editor for europe
1190	associate editors for europe	associate editor
1191	editor for asia	editor for asia
1192	associate editors for asia	associate editor
1193	theme issue editor	theme issue editor
1194	concept papers editor	concept papers editor
1195	ethics editors	ethics editor
1196	co editors-in-chief	co editor in chief
1197	special features editor	special features editor
1198	asb representatives	asb representatives
1199	esb representatives	esb representatives
1200	isb representatives	isb representatives
1201	anzsb representatives	anzsb representatives
1202	société de biomécanique representatives	société de biomécanique representatives
1203	independent members	independent member
1204	past associate editors	past associate editor
1205	section editor – digital forensics	section editor – digital forensics
1206	section editor – general forensics	section editor – general forensics
1207	senior managing editor, acr press	senior managing editor, acr press
1208	senior managing editor, j&j editorial, llc	senior managing editor, j&j editorial, llc
1209	contributing editor	contributing editor
1210	reviews, commentary, editorials	reviews, commentary, editorials
1211	deputy editors emeriti	deputy editor emeriti
1212	board of referees	board of referees
1213	services and prevention, technology transfer, and treatment	services and prevention, technology transfer, and treatment
1214	treatment and services	treatment and services
1215	associate editor fellow	associate editor fellow
1216	ethics editor	ethics editor
1217	associate editor-in-chief	associate editor in chief
1218	senior advisory council	senior advisory council
1219	managing guest editors	managing guest editor
1220	seminars section editors	seminars section editor
1221	survey section editors	survey section editor
1222	retired editors	retired editor
1223	emeritus editor in chief	emeritus editor in chief
1224	editor submitted papers	editor submitted papers
1225	editor topical issues	editor topical issues
1226	current events editor	current events editor
1227	corresponding editor	corresponding editor
1228	international editorial advisory board	international editorial advisory board
1229	founding editors (collagen and related research)	founding editor (collagen and related research)
1230	science editors (matrix biology highlights)	science editor (matrix biology highlights)
1231	executive editorial board	executive editorial board
1232	htrs editorial board representative	htrs editorial board representative
1233	young consulting editors	young consulting editor
1234	former editor-in-chief	former editor in chief
1235	the board of governors of acta materialia	the board of governors of acta materialia
1236	pathology editor	pathology editor
1237	statistics/methods editors	statistics/methods editor
1238	editorial interns	editorial interns
1239	editor: endocrine, sarcomas and other rare tumours	editor: endocrine, sarcomas and other rare tumours
1240	french scientific commitee	french scientific commitee
1241	international scientific commitee	international scientific commitee
1242	in-house editor	in house editor
1243	institutional representatives	institutional representatives
1244	statistical associate editor	statistical associate editor
1245	specialty editor: epidemiology and prevention	specialty editor: epidemiology and prevention
1246	specialty editor: imaging, screening and early diagnosis	specialty editor: imaging, screening and early diagnosis
1247	speciality editors: familial & hereditary breast cancer	speciality editor: familial & hereditary breast cancer
1248	specialty editor: pathology	specialty editor: pathology
1249	specialty editors: surgery and oncoplastic surgery	specialty editor: surgery and oncoplastic surgery
1250	specialty editors: medical oncology	specialty editor: medical oncology
1251	specialty editor: radiation oncology	specialty editor: radiation oncology
1252	specialty editor: translational research	specialty editor: translational research
1253	specialty editor: psycho-oncology and quality of life	specialty editor: psycho oncology and quality of life
1254	specialty editor: survivorship	specialty editor: survivorship
1255	st gallen oncology conferences representatives	st gallen oncology conferences representatives
1256	associates editors	associates editor
1257	founding editor & editor in chief emeritus	founding editor & editor in chief emeritus
1258	emeriti associate editors	emeriti associate editor
1259	co editor-in-chiefs	co editor in chiefs
1260	associate editor: randomised trials, methodology and statistics	associate editor: randomised trials, methodology and statistics
1261	associate editor: guidelines	associate editor: guidelines
1262	associate editor: venous disease	associate editor: venous disease
1263	associate editor: education, cme	associate editor: education, cme
1264	associate editor: education, cme, vascular biology and translational medicine	associate editor: education, cme, vascular biology and translational medicine
1265	associate editor: reviews & correspondence	associate editor: reviews & correspondence
1266	associate editor: vascular biology, biomedical engineering and translational medicine	associate editor: vascular biology, biomedical engineering and translational medicine
1267	associate editor: coup d’oeil, technical innovations, short reports and online interactions	associate editor: coup d’oeil, technical innovations, short reports and online interactions
1268	associate editor: complex endovascular therapies	associate editor: complex endovascular therapies
1269	associate editor: venous and lymphatic diseases	associate editor: venous and lymphatic diseases
1270	english language editor	english language editor
1271	section editor: social gerontology and health service research	section editor: social gerontology and health service research
1272	basic science reviews editor	basic science reviews editor
1273	transfer editor heliyon	transfer editor heliyon
1274	editorial board associate editors	editorial board associate editor
1275	adviser on statistics	adviser on statistics
1276	adviser on veterinary anaesthesia	adviser on veterinary anaesthesia
1277	scientific assistant	scientific assistant
1278	senior area editors	senior area editor
1279	former editors-in-chief 2008 - 2017	former editor in chief 2008 2017
1280	consulting editors	consulting editor
1281	associate editor (shanghai office)	associate editor (shanghai office)
1282	editorial board (shanghai and tianjin editorial offices)	editorial board (shanghai and tianjin editorial offices)
1283	associate editor: social media	associate editor: social media
1284	society for cardiovascular pathology cornotes editor	society for cardiovascular pathology cornotes editor
1285	society for cardiovascular pathology publications committee chair	society for cardiovascular pathology publications committee chair
1286	review articles editors	review articles editor
1287	director, publications	director, publications
1288	honorary consulting editors	honorary consulting editor
1289	review & meta-analysis	review & meta analysis
1290	senior editorial board	senior editorial board
1291	world federation council members (wfsiccm)	world federation council member (wfsiccm)
1292	statistical board	statistical board
1293	assitant editors	assitant editor
1294	statistics advisory board	statistics advisory board
1295	reviews, seminars and debates	reviews, seminars and debates
1296	consulting editor on quantitative methods	consulting editor on quantitative methods
1297	advisory and consulting editors emeritus	advisory and consulting editor emeritus
1298	editor emeritus and topic editor-at-large	editor emeritus and topic editor at large
1299	new drug reviews	new drug reviews
1300	consulting editor, nephrology	consulting editor, nephrology
1301	consulting editor, pain management and treatment	consulting editor, pain management and treatment
1302	consulting editors, pharmacoepidemiology	consulting editor, pharmacoepidemiology
1303	consulting editor, placebo and nocebo research	consulting editor, placebo and nocebo research
1304	consulting statistical editor	consulting statistical editor
1305	consulting editor, women’s health	consulting editor, women’s health
1306	consulting editors at large	consulting editor at large
1307	international consulting editors	international consulting editor
1308	program coordinator	program coordinator
1309	ed board	ed board
1310	developmental editor	developmental editor
1311	associated editor	associated editor
1312	the board of governors of acta materialia inc.	the board of governors of acta materialia inc.
1313	assignment editor	assignment editor
1314	president of the editorial board	president of the editorial board
1315	director of the publication	director of the publication
1316	acting editor-in-chief	acting editor in chief
1317	acting executive editors	acting executive editor
1318	bask president	bask president
1319	past president	past president
1320	social media & web editor	social media & web editor
1321	cover art editor	cover art editor
1322	senior executive editors	senior executive editor
1323	asia executive editor	asia executive editor
1324	north american executive editor	north american executive editor
1325	distinguished senior editors	distinguished senior editor
1326	founding and consulting editors	founding and consulting editor
1327	value in health regional issues co-editors-in-chief	value in health regional issues co editor in chief
1328	value in health regional issues co-editors	value in health regional issues co editor
1329	value in health regional issues editorial advisory board	value in health regional issues editorial advisory board
1330	value in health regional issues management advisory board	value in health regional issues management advisory board
1331	review articles	review articles
1332	reviews editors	reviews editor
1333	ena board liaison	ena board liaison
1334	associate  editors	associate editor
1335	secretary/treasurer	secretary/treasurer
1336	directors	directors
1337	eons representatives	eons representatives
1338	editorial and production manager	editorial and production manager
1339	association for academic surgery publications committee co-chairs	association for academic surgery publications committee co chairs
1340	society for asian academic surgeons publications committee co-chairs	society for asian academic surgeons publications committee co chairs
1341	editor, biostatistics and modelling	editor, biostatistics and modelling
1342	managing editor	managing editor
1343	vice-editors-in-chief	vice editor in chief
1344	proof reader	proof reader
1345	editorial board and reviewers	editorial board and reviewers
1346	research briefs editors	research briefs editor
1347	editorial board director	editorial board director
1348	basic science editor	basic science editor
1349	basic science associate editors	basic science associate editor
1350	clinical associate editors	clinical associate editor
1351	reviewer board	reviewer board
1352	board of review editors	board of review editor
1353	founding editorial board members	founding editorial board member
1354	honorary consulting editor	honorary consulting editor
1355	advisor to the board	advisor to the board
1356	aqueous humor and optic nerve head section editor	aqueous humor and optic nerve head section editor
1357	cornea and lens section editor	cornea and lens section editor
1358	ocular immunology and pathology section editor	ocular immunology and pathology section editor
1359	retina and vascular biology section editor	retina and vascular biology section editor
1360	methods in eye research editor	methods in eye research editor
1361	reviews and special issues editor	reviews and special issues editor
1362	congenital heart disease editor	congenital heart disease editor
1363	imaging/physiology editor	imaging/physiology editor
1364	editor-in-chief, journal of shoulder and elbow surgery open access	editor in chief, journal of shoulder and elbow surgery open access
1365	editor-in-chief, journal of shoulder and elbow surgery	editor in chief, journal of shoulder and elbow surgery
1366	editor-in-chief, mayo clinic proceedings	editor in chief, mayo clinic proceedings
1367	managing and language editor	managing and language editor
1368	office manager	office manager
1369	board of co-editors	board of co editor
