	original	normalized
202	honorary secretary of bapras	honorary secretary of bapras
203	administrative editor	administrative editor
204	board of consultants	board of consultants
205	for inquiries regarding book reviews, please contact mark pingle	for inquiries regarding book reviews, please contact mark pingle
206	editor / director	editor / director
207	honorary editor-in-chief	honorary editor in chief
208	associate editors / language	associate editor / language
209	associate editor / methodology and statistics	associate editor / methodology and statistics
210	associate editor / technical review	associate editor / technical review
211	former editors	former editor
212	survey papers editor	survey papers editor
213	section editor - trauma & rehabilitation	section editor trauma & rehabilitation
214	section editor - hip	section editor hip
215	section editor - foot & ankle	section editor foot & ankle
216	section editor - training & education	section editor training & education
217	section editor - arthroplasty	section editor arthroplasty
218	section editor - pediatric orthopaedics	section editor pediatric orthopaedics
219	section editor - orthopaedic oncology	section editor orthopaedic oncology
220	section editor - elbow, wrist & hand	section editor elbow, wrist & hand
221	section editor - shoulder	section editor shoulder
222	incoming editor	incoming editor
223	outgoing editor	outgoing editor
224	incoming associate editors	incoming associate editor
225	ongoing associate editors	ongoing associate editor
226	outgoing associate editors	outgoing associate editor
227	art director, it manager & billing platform manager	art director, it manager & billing platform manager
228	honorary member	honorary member
229	assistant associate editor	assistant associate editor
230	editorial coordinator	editorial coordinator
231	previous editors	previous editor
232	founding editor in chief	founding editor in chief
233	board of trustees	board of trustees
234	section editors – animal models	section editor – animal models
235	section editors – biomaterials	section editor – biomaterials
236	section editors – biophysical stimulation	section editor – biophysical stimulation
237	section editors – clinical trials	section editor – clinical trials
238	section editors – diagnostics	section editor – diagnostics
239	section editors – health promotion and sports medicine	section editor – health promotion and sports medicine
240	section editor – imaging	section editor – imaging
241	section editors – industries and markets	section editor – industries and markets
242	section editors – medical devices and implants	section editor – medical devices and implants
243	section editors – regenerative medicine	section editor – regenerative medicine
244	section editor – regulations and policies	section editor – regulations and policies
245	section editors – rehabilitation	section editor – rehabilitation
246	international editorial board members	international editorial board member
247	founding editor-in-chief	founding editor in chief
248	founding associate editor	founding associate editor
249	review editors	review editor
250	founding editors (2012)	founding editor (2012)
251	junior editors	junior editor
252	honorary editor-in-chief and founder	honorary editor in chief and founder
253	special issues editor	special issues editor
254	jcrs editors	jcrs editor
255	jcrs associate editors	jcrs associate editor
256	jcrs editor emeritus	jcrs editor emeritus
257	jcrs review/update	jcrs review/update
258	jcrs editorial board	jcrs editorial board
259	section expert advisors	section expert advisors
260	executive editors-in-chief	executive editor in chief
261	receiving editors	receiving editor
262	executive managing editor	executive managing editor
263	editorial office / contact	editorial office / contact
264	associate editors	associate editor
265	editorial board members	editorial board member
266	honorary editor	honorary editor
267	honorary editors-in-chief	honorary editor in chief
268	editor assistant	editor assistant
269	english editor	english editor
270	handling editor	handling editor
271	co-editor	co editor
272	international advisory board	international advisory board
273	editor in chief/director	editor in chief/director
274	associated editors/editores asociados	associated editor/editores asociados
275	editor-chefe	editor chefe
276	editor associado	editor associado
277	conselho editorial executivo	conselho editorial executivo
278	conselho editorial	conselho editorial
279	managing editor-in-chief	managing editor in chief
280	editorial director	editorial director
281	members of the advisory board	member of the advisory board
282	members of the editorial board	member of the editorial board
283	founding editors-in-chief	founding editor in chief
284	emeritus editor	emeritus editor
285	editorial associates	editorial associates
286	regional editor - asia	regional editor asia
287	regional editor - europe	regional editor europe
288	regional editor - north america	regional editor north america
289	regional editor - south america	regional editor south america
290	regional editor - oceania	regional editor oceania
291	business editors	business editor
292	editorial office (scientific managers)	editorial office (scientific managers)
293	former editor-in-chief (2012-2018)	former editor in chief (2012 2018)
294	editorial office - director	editorial office director
295	editorial office - administrative editors	editorial office administrative editor
296	editor in chief	editor in chief
297	topic editors	topic editor
298	section editor: mds	section editor: mds
299	associate staff editors	associate staff editor
300	junior staff editors	junior staff editor
301	deputy-editors-in-chief	deputy editor in chief
302	chair of editorial board	chair of editorial board
303	hospitality subject editor	hospitality subject editor
304	leisure and events subject editor	leisure and events subject editor
305	sport subject editor	sport subject editor
306	tourism subject editor	tourism subject editor
307	deputy chief editor	deputy chief editor
308	earli editorial board representative	earli editorial board representative
309	iscar editorial board representative	iscar editorial board representative
310	honorary editor-in-chiefs	honorary editor in chiefs
311	associate editor-in-chiefs	associate editor in chiefs
312	senior associate editor	senior associate editor
313	editor in chief / directora	editor in chief / directora
314	associate editors / editores asociados	associate editor / editores asociados
315	chairman	chairman
316	vice chairman	vice chairman
317	editor-in-chief for columns	editor in chief for columns
318	subject editors	subject editor
319	founder and emeritus editor	founder and emeritus editor
320	founder editor	founder editor
321	vice president	vice president
322	joint secretary	joint secretary
323	immediate past president	immediate past president
324	executive committee members	executive committee member
325	associate research editors	associate research editor
326	research editors	research editor
327	senior director	senior director
328	co-editor in chief	co editor in chief
329	co-managing editor	co managing editor
330	advisory panel	advisory panel
331	editorial panel	editorial panel
332	media engagement editor	media engagement editor
