Discipline	Parent	Year0	Age	EPriorPaperCount	EPriorCitationCount	EHindex	ETop	EColabCount
Biology	86803240	2013	8	9	67	3	False	18
Biology	86803240	2013	8	11	73	4	False	19
Biology	86803240	2013	9	12	80	5	False	19
Biology	86803240	2013	9	13	85	5	False	21
Biology	86803240	2013	9	14	94	5	False	22
Biology	86803240	2013	9	14	103	5	False	26
Biology	86803240	2013	9	15	112	5	False	31
Biology	86803240	2013	10	16	116	5	False	31
Biology	86803240	2013	10	16	130	6	False	31
Biology	86803240	2013	10	16	146	6	False	32
Biology	86803240	2013	10	18	184	6	False	33
Biology	86803240	2013	10	18	184	7	False	33
Biology	86803240	2013	10	19	192	7	False	34
Biology	86803240	2013	10	21	194	7	False	36
Biology	86803240	2013	11	21	202	7	False	37
Biology	86803240	2013	11	21	211	7	False	37
Biology	86803240	2013	11	22	213	8	False	39
Biology	86803240	2013	11	23	215	8	False	40
Biology	86803240	2013	11	24	220	8	False	41
Biology	86803240	2013	12	25	237	8	False	42
Biology	86803240	2013	12	26	258	8	False	44
Biology	86803240	2013	12	27	271	8	False	45
Biology	86803240	2013	12	27	290	9	False	45
Biology	86803240	2013	13	28	314	9	False	45
Biology	86803240	2013	13	29	316	9	False	45
Biology	86803240	2013	13	29	321	9	False	46
Biology	86803240	2013	14	29	323	9	False	46
Biology	86803240	2013	14	31	331	9	False	47
Biology	86803240	2013	14	32	332	9	False	49
Biology	86803240	2013	14	33	339	9	False	49
Biology	86803240	2013	14	34	359	9	False	49
Biology	86803240	2013	14	35	359	9	False	49
Biology	86803240	2013	15	36	359	9	False	49
Biology	86803240	2013	15	36	359	10	False	50
Biology	86803240	2013	15	37	361	10	False	52
Biology	86803240	2013	15	39	378	10	False	53
Biology	86803240	2013	15	39	389	10	False	56
Biology	86803240	2013	15	39	390	11	False	56
Biology	86803240	2013	16	39	407	11	False	56
Biology	86803240	2013	16	39	410	11	False	61
Biology	86803240	2013	16	40	411	11	False	62
Biology	86803240	2013	16	40	438	11	False	62
Biology	86803240	2013	16	40	438	11	False	62
Biology	86803240	2013	16	40	449	11	False	62
Biology	86803240	2013	16	40	451	11	False	64
Biology	86803240	2013	17	40	456	12	False	65
Biology	86803240	2013	17	40	465	12	False	65
Biology	86803240	2013	17	41	467	12	False	65
Biology	86803240	2013	17	42	469	12	False	67
Biology	86803240	2013	17	43	476	12	False	73
Biology	86803240	2013	17	44	483	12	False	74
Biology	86803240	2013	17	44	487	12	False	76
Biology	86803240	2013	18	45	508	12	False	77
Biology	86803240	2013	18	45	523	12	False	78
Biology	86803240	2013	18	45	537	12	False	82
Biology	86803240	2013	18	45	546	12	False	86
Biology	86803240	2013	18	47	564	13	False	90
Biology	86803240	2013	18	47	582	13	False	93
Biology	86803240	2013	18	47	606	13	False	98
Biology	86803240	2013	18	48	626	13	False	99
Biology	86803240	2013	19	49	642	13	False	101
Biology	86803240	2013	19	51	649	13	False	103
Biology	86803240	2013	19	51	653	13	False	103
Biology	86803240	2013	19	51	660	13	False	104
Biology	86803240	2013	19	52	661	14	False	104
Biology	86803240	2013	19	53	682	14	False	105
Biology	86803240	2013	19	53	715	14	False	106
Biology	86803240	2013	19	56	724	14	False	108
Biology	86803240	2013	19	58	757	14	False	108
Biology	86803240	2013	19	58	768	14	False	110
Biology	86803240	2013	19	60	803	14	False	111
Biology	86803240	2013	19	61	823	15	False	113
Biology	86803240	2013	19	62	830	15	False	113
Biology	86803240	2013	20	63	832	16	False	120
Biology	86803240	2013	20	64	877	16	False	123
Biology	86803240	2013	20	64	887	16	False	126
Biology	86803240	2013	21	64	921	16	False	130
Biology	86803240	2013	21	64	946	16	False	131
Biology	86803240	2013	21	65	959	16	False	133
Biology	86803240	2013	21	68	971	16	False	134
Biology	86803240	2013	21	68	991	17	False	136
Biology	86803240	2013	21	69	994	17	False	139
Biology	86803240	2013	21	70	1001	17	False	140
Biology	86803240	2013	22	71	1004	17	False	143
Biology	86803240	2013	22	72	1042	17	False	143
Biology	86803240	2013	22	72	1054	17	False	143
Biology	86803240	2013	22	72	1059	17	False	144
Biology	86803240	2013	22	73	1082	17	False	144
Biology	86803240	2013	22	74	1121	18	False	145
Biology	86803240	2013	22	74	1131	18	False	145
Biology	86803240	2013	22	75	1157	18	False	146
Biology	86803240	2013	22	76	1178	19	False	148
Biology	86803240	2013	23	79	1187	19	False	150
Biology	86803240	2013	23	80	1267	19	False	151
Biology	86803240	2013	23	80	1284	19	False	154
Biology	86803240	2013	23	82	1297	19	False	154
Biology	86803240	2013	23	82	1307	19	False	155
Biology	86803240	2013	23	83	1345	19	False	157
Biology	86803240	2013	23	85	1350	19	False	157
Biology	86803240	2013	23	86	1420	20	False	158
Biology	86803240	2013	23	88	1420	20	False	160
Biology	86803240	2013	24	88	1425	20	False	163
Biology	86803240	2013	24	89	1436	20	False	164
Biology	86803240	2013	24	89	1437	20	False	167
Biology	86803240	2013	24	90	1439	20	False	168
Biology	86803240	2013	24	92	1577	20	False	170
Biology	86803240	2013	24	92	1646	21	False	170
Biology	86803240	2013	24	95	1830	21	False	171
Biology	86803240	2013	24	96	1844	21	False	172
Biology	86803240	2013	24	97	1859	21	False	172
Biology	86803240	2013	24	97	1876	22	False	176
Biology	86803240	2013	25	97	1889	23	False	177
Biology	86803240	2013	25	99	2006	23	False	185
Biology	86803240	2013	25	99	2020	23	False	186
Biology	86803240	2013	25	100	2112	23	False	189
Biology	86803240	2013	25	100	2125	23	False	190
Biology	86803240	2013	25	100	2161	24	False	194
Biology	86803240	2013	25	100	2175	24	False	194
Biology	86803240	2013	25	103	2208	24	False	199
Biology	86803240	2013	25	106	2223	24	False	199
Biology	86803240	2013	25	106	2253	25	False	199
Biology	86803240	2013	26	108	2277	25	False	202
Biology	86803240	2013	26	108	2337	25	False	203
Biology	86803240	2013	26	109	2371	25	False	209
Biology	86803240	2013	26	111	2375	25	False	212
Biology	86803240	2013	26	112	2470	25	False	217
Biology	86803240	2013	26	112	2478	25	False	224
Biology	86803240	2013	26	112	2488	25	False	224
Biology	86803240	2013	27	112	2495	26	False	224
Biology	86803240	2013	27	113	2526	26	False	225
Biology	86803240	2013	27	113	2536	26	False	226
Biology	86803240	2013	27	116	2603	26	False	229
Biology	86803240	2013	27	116	2631	26	False	235
Biology	86803240	2013	27	117	2631	26	False	235
Biology	86803240	2013	27	118	2659	26	False	237
Biology	86803240	2013	27	119	2695	26	False	237
Biology	86803240	2013	27	120	2847	26	False	239
Biology	86803240	2013	27	121	2854	27	False	244
Biology	86803240	2013	27	122	2854	28	False	245
Biology	86803240	2013	27	123	2869	29	True	249
Biology	86803240	2013	28	125	2927	29	True	257
Biology	86803240	2013	28	125	2972	29	True	262
Biology	86803240	2013	28	128	3006	29	True	262
Biology	86803240	2013	28	129	3046	29	True	268
Biology	86803240	2013	28	132	3077	29	True	273
Biology	86803240	2013	28	135	3138	30	True	282
Biology	86803240	2013	29	138	3183	30	True	293
Biology	86803240	2013	29	139	3193	30	True	294
Biology	86803240	2013	29	141	3205	31	True	297
Biology	86803240	2013	29	142	3213	31	True	312
Biology	86803240	2013	29	144	3217	32	True	324
Biology	86803240	2013	29	145	3281	32	True	326
Biology	86803240	2013	29	149	3286	33	True	339
Biology	86803240	2013	30	149	3362	33	True	370
Biology	86803240	2013	30	152	3389	33	True	388
Biology	86803240	2013	30	153	3414	33	True	390
Biology	86803240	2013	30	153	3435	33	True	391
Biology	86803240	2013	30	156	3576	33	True	398
Biology	86803240	2013	30	156	3670	34	True	406
Biology	86803240	2013	30	160	3801	34	True	421
Biology	86803240	2013	31	160	3816	34	True	424
Biology	86803240	2013	31	161	3998	34	True	425
Biology	86803240	2013	31	163	4106	34	True	427
Biology	86803240	2013	32	166	4244	35	True	427
Biology	86803240	2013	32	176	4461	35	True	435
Biology	86803240	2013	32	179	4889	35	True	442
Biology	86803240	2013	32	183	5004	35	True	451
Biology	86803240	2013	32	185	5071	36	True	452
Biology	86803240	2013	32	186	5093	36	True	462
Biology	86803240	2013	32	192	5105	37	True	475
Biology	86803240	2013	32	201	5406	37	True	482
Biology	86803240	2013	33	205	5635	39	True	486
Biology	86803240	2013	33	205	5715	39	True	486
Biology	86803240	2013	33	206	5736	40	True	498
Biology	86803240	2013	33	215	5853	40	True	499
Biology	86803240	2013	33	216	5894	41	True	509
Biology	86803240	2013	33	224	6074	41	True	513
Biology	86803240	2013	34	229	6076	41	True	513
Biology	86803240	2013	34	230	6116	41	True	528
Biology	86803240	2013	34	230	6165	42	True	558
Biology	86803240	2013	34	230	6344	42	True	578
Biology	86803240	2013	34	232	6655	42	True	584
Biology	86803240	2013	34	236	6741	42	True	599
Biology	86803240	2013	35	240	6876	42	True	606
Biology	86803240	2013	35	247	6983	42	True	620
Biology	86803240	2013	35	249	7221	44	True	629
Biology	86803240	2013	35	263	7457	44	True	630
Biology	86803240	2013	35	265	7699	44	True	640
Biology	86803240	2013	35	277	7807	45	True	643
Biology	86803240	2013	35	286	7879	46	True	668
Biology	86803240	2013	35	296	7900	46	True	673
Biology	86803240	2013	35	298	7999	47	True	677
Biology	86803240	2013	36	301	8047	48	True	765
Biology	86803240	2013	36	317	8242	48	True	807
Biology	86803240	2013	36	320	9263	48	True	815
Biology	86803240	2013	36	326	9399	48	True	848
Biology	86803240	2013	36	328	9423	49	True	919
Biology	86803240	2013	36	329	10153	53	True	1009
Biology	86803240	2013	36	335	11046	53	True	1036
Biology	86803240	2013	36	345	11823	55	True	1057
Biology	86803240	2013	36	346	12413	56	True	1076
Biology	86803240	2013	37	351	13083	57	True	1088
Biology	86803240	2013	37	362	13161	60	True	1304
Biology	86803240	2013	38	445	13610	60	True	1424
Biology	86803240	2013	38	458	14031	60	True	1463
Biology	86803240	2013	39	459	14031	60	True	1500
Biology	86803240	2013	39	460	14717	61	True	1627
Biology	86803240	2013	40	488	17132	62	True	1667
Biology	86803240	2013	41	573	18162	63	True	1691
Biology	86803240	2013	41	632	19935	64	True	1761
Biology	86803240	2013	41	635	21009	70	True	1778
Biology	86803240	2013	44	661	23318	75	True	1820
Biology	86803240	2013	44	681	37191	77	True	2043
Biology	86803240	2013	45	761	37803	83	True	2951
Biology	86803240	2013	45	919	40201	100	True	3132
Biology	86803240	2013	45	3739	92893	144	True	15900
Biology	86803240	2014	3	2	1	0	False	3
Biology	86803240	2014	3	2	1	0	False	4
Biology	86803240	2014	4	3	1	1	False	5
Biology	86803240	2014	5	3	5	1	False	6
Biology	86803240	2014	5	3	12	1	False	8
Biology	86803240	2014	7	4	17	2	False	8
Biology	86803240	2014	7	5	19	2	False	10
Biology	86803240	2014	8	7	20	3	False	10
Biology	86803240	2014	8	8	37	3	False	14
Biology	86803240	2014	8	8	38	3	False	17
Biology	86803240	2014	8	9	44	3	False	17
Biology	86803240	2014	9	12	68	3	False	17
Biology	86803240	2014	9	13	72	4	False	17
Biology	86803240	2014	9	13	88	5	False	18
Biology	86803240	2014	9	16	93	5	False	21
Biology	86803240	2014	9	17	93	5	False	22
Biology	86803240	2014	9	18	100	6	False	26
Biology	86803240	2014	9	18	117	6	False	27
Biology	86803240	2014	9	18	127	6	False	28
Biology	86803240	2014	10	19	135	6	False	29
Biology	86803240	2014	10	20	138	7	False	29
Biology	86803240	2014	10	20	152	7	False	31
Biology	86803240	2014	10	22	152	7	False	32
Biology	86803240	2014	10	23	160	7	False	33
Biology	86803240	2014	10	23	171	7	False	33
Biology	86803240	2014	10	23	197	7	False	34
Biology	86803240	2014	10	23	198	7	False	36
Biology	86803240	2014	11	23	207	7	False	36
Biology	86803240	2014	11	24	214	8	False	37
Biology	86803240	2014	11	24	236	8	False	39
Biology	86803240	2014	11	25	251	8	False	39
Biology	86803240	2014	11	26	282	8	False	41
Biology	86803240	2014	11	26	293	8	False	41
Biology	86803240	2014	11	27	294	8	False	44
Biology	86803240	2014	11	27	296	9	False	46
Biology	86803240	2014	11	28	301	9	False	46
Biology	86803240	2014	12	28	317	9	False	46
Biology	86803240	2014	12	28	326	9	False	47
Biology	86803240	2014	12	28	353	9	False	48
Biology	86803240	2014	12	30	362	9	False	50
Biology	86803240	2014	12	30	373	9	False	50
Biology	86803240	2014	12	30	383	10	False	50
Biology	86803240	2014	12	30	387	10	False	51
Biology	86803240	2014	12	30	389	10	False	51
Biology	86803240	2014	12	30	403	10	False	53
Biology	86803240	2014	12	30	409	10	False	53
Biology	86803240	2014	12	30	416	10	False	53
Biology	86803240	2014	13	31	428	10	False	53
Biology	86803240	2014	13	31	441	10	False	53
Biology	86803240	2014	13	31	450	10	False	54
Biology	86803240	2014	13	31	465	11	False	54
Biology	86803240	2014	13	31	467	11	False	54
Biology	86803240	2014	13	31	469	11	False	54
Biology	86803240	2014	14	31	490	11	False	54
Biology	86803240	2014	14	33	492	11	False	55
Biology	86803240	2014	14	33	492	11	False	55
Biology	86803240	2014	14	34	492	11	False	58
Biology	86803240	2014	14	34	492	11	False	58
Biology	86803240	2014	14	34	496	11	False	58
Biology	86803240	2014	14	34	500	11	False	60
Biology	86803240	2014	14	34	514	11	False	60
Biology	86803240	2014	14	34	531	11	False	60
Biology	86803240	2014	14	34	562	11	False	60
Biology	86803240	2014	15	34	562	11	False	62
Biology	86803240	2014	15	35	562	11	False	63
Biology	86803240	2014	15	35	562	11	False	63
Biology	86803240	2014	15	36	567	11	False	63
Biology	86803240	2014	15	36	569	11	False	64
Biology	86803240	2014	15	38	578	11	False	65
Biology	86803240	2014	15	38	585	11	False	65
Biology	86803240	2014	15	39	591	12	False	65
Biology	86803240	2014	16	39	607	12	False	65
Biology	86803240	2014	16	39	607	12	False	65
Biology	86803240	2014	16	41	607	12	False	67
Biology	86803240	2014	16	42	607	12	False	68
Biology	86803240	2014	16	42	607	13	False	68
Biology	86803240	2014	16	42	609	13	False	69
Biology	86803240	2014	16	42	617	13	False	69
Biology	86803240	2014	16	42	629	13	False	69
Biology	86803240	2014	16	43	653	13	False	69
Biology	86803240	2014	17	43	657	13	False	69
Biology	86803240	2014	17	43	657	13	False	70
Biology	86803240	2014	17	43	657	13	False	71
Biology	86803240	2014	17	44	663	13	False	71
Biology	86803240	2014	17	44	675	13	False	72
Biology	86803240	2014	17	44	683	13	False	72
Biology	86803240	2014	17	44	685	13	False	73
Biology	86803240	2014	17	44	686	14	False	74
Biology	86803240	2014	17	44	697	14	False	74
Biology	86803240	2014	17	44	704	14	False	74
Biology	86803240	2014	17	44	704	14	False	75
Biology	86803240	2014	17	45	704	14	False	77
Biology	86803240	2014	17	46	714	14	False	78
Biology	86803240	2014	17	46	732	14	False	78
Biology	86803240	2014	17	47	734	14	False	78
Biology	86803240	2014	17	48	749	14	False	78
Biology	86803240	2014	17	49	751	14	False	78
Biology	86803240	2014	17	49	756	15	False	79
Biology	86803240	2014	17	50	757	15	False	79
Biology	86803240	2014	17	50	758	15	False	79
Biology	86803240	2014	17	50	759	15	False	79
Biology	86803240	2014	17	52	759	15	False	80
Biology	86803240	2014	18	53	767	15	False	80
Biology	86803240	2014	18	53	769	15	False	80
Biology	86803240	2014	18	54	769	15	False	80
Biology	86803240	2014	18	54	769	15	False	83
Biology	86803240	2014	18	55	814	15	False	83
Biology	86803240	2014	18	55	823	16	False	83
Biology	86803240	2014	18	55	829	16	False	84
Biology	86803240	2014	18	56	831	16	False	84
Biology	86803240	2014	18	56	831	16	False	87
Biology	86803240	2014	18	56	831	16	False	89
Biology	86803240	2014	18	56	831	16	False	89
Biology	86803240	2014	18	56	837	16	False	91
Biology	86803240	2014	18	56	843	16	False	92
Biology	86803240	2014	18	56	844	16	False	94
Biology	86803240	2014	18	58	846	16	False	94
Biology	86803240	2014	19	58	849	17	False	96
Biology	86803240	2014	19	58	855	17	False	96
Biology	86803240	2014	20	58	857	17	False	98
Biology	86803240	2014	20	59	891	17	False	100
Biology	86803240	2014	20	59	893	17	False	101
Biology	86803240	2014	20	59	896	17	False	101
Biology	86803240	2014	20	59	909	17	False	102
Biology	86803240	2014	20	62	922	17	False	104
Biology	86803240	2014	20	62	979	17	False	104
Biology	86803240	2014	20	62	1005	17	False	109
Biology	86803240	2014	20	62	1011	17	False	109
Biology	86803240	2014	20	62	1045	17	False	110
Biology	86803240	2014	20	63	1065	17	False	112
Biology	86803240	2014	20	63	1065	17	False	112
Biology	86803240	2014	20	63	1065	17	False	113
Biology	86803240	2014	21	63	1065	17	False	113
Biology	86803240	2014	21	64	1094	17	False	114
Biology	86803240	2014	21	64	1095	17	False	114
Biology	86803240	2014	21	64	1100	17	False	115
Biology	86803240	2014	21	64	1101	18	False	115
Biology	86803240	2014	21	65	1107	18	False	115
Biology	86803240	2014	21	67	1118	18	False	116
Biology	86803240	2014	21	68	1137	18	False	117
Biology	86803240	2014	21	68	1137	18	False	124
Biology	86803240	2014	21	68	1151	18	False	124
Biology	86803240	2014	21	68	1155	18	False	124
Biology	86803240	2014	21	69	1181	19	False	126
Biology	86803240	2014	21	69	1217	19	False	127
Biology	86803240	2014	21	69	1230	19	False	127
Biology	86803240	2014	21	69	1247	19	False	130
Biology	86803240	2014	21	69	1247	19	False	131
Biology	86803240	2014	21	69	1247	19	False	132
Biology	86803240	2014	21	69	1247	19	False	134
Biology	86803240	2014	21	70	1265	19	False	135
Biology	86803240	2014	21	70	1294	19	False	135
Biology	86803240	2014	21	70	1307	19	False	136
Biology	86803240	2014	21	71	1308	19	False	137
Biology	86803240	2014	22	72	1311	19	False	137
Biology	86803240	2014	22	72	1316	19	False	140
Biology	86803240	2014	22	73	1361	19	False	140
Biology	86803240	2014	22	73	1404	20	False	141
Biology	86803240	2014	22	74	1407	20	False	141
Biology	86803240	2014	22	74	1417	20	False	144
Biology	86803240	2014	22	75	1430	20	False	145
Biology	86803240	2014	22	76	1438	20	False	147
Biology	86803240	2014	22	78	1454	20	False	147
Biology	86803240	2014	22	78	1458	20	False	148
Biology	86803240	2014	22	78	1482	20	False	148
Biology	86803240	2014	22	79	1497	20	False	151
Biology	86803240	2014	22	80	1541	20	False	152
Biology	86803240	2014	22	80	1544	20	False	153
Biology	86803240	2014	22	80	1544	20	False	153
Biology	86803240	2014	22	81	1544	20	False	155
Biology	86803240	2014	22	81	1544	21	False	157
Biology	86803240	2014	23	82	1548	21	False	158
Biology	86803240	2014	23	82	1554	21	False	159
Biology	86803240	2014	23	82	1559	21	False	160
Biology	86803240	2014	23	83	1580	21	False	161
Biology	86803240	2014	23	84	1626	21	False	166
Biology	86803240	2014	23	84	1628	21	False	166
Biology	86803240	2014	23	85	1630	21	False	170
Biology	86803240	2014	23	85	1651	21	False	171
Biology	86803240	2014	23	85	1686	21	False	171
Biology	86803240	2014	24	87	1716	21	False	175
Biology	86803240	2014	24	89	1719	21	False	175
Biology	86803240	2014	24	90	1725	21	False	175
Biology	86803240	2014	24	92	1768	21	False	175
Biology	86803240	2014	24	92	1846	22	False	175
Biology	86803240	2014	24	94	1884	22	False	178
Biology	86803240	2014	24	96	1884	22	False	178
Biology	86803240	2014	24	99	1884	22	False	178
Biology	86803240	2014	24	99	1884	22	False	183
Biology	86803240	2014	24	101	1910	22	False	183
Biology	86803240	2014	24	101	1928	23	False	184
Biology	86803240	2014	25	101	1959	23	False	186
Biology	86803240	2014	25	101	1963	23	False	186
Biology	86803240	2014	25	102	1986	23	False	187
Biology	86803240	2014	25	102	2034	23	True	192
Biology	86803240	2014	25	108	2040	23	True	192
Biology	86803240	2014	25	109	2119	23	True	192
Biology	86803240	2014	26	109	2196	23	True	192
Biology	86803240	2014	26	109	2201	23	True	192
Biology	86803240	2014	26	109	2228	23	True	197
Biology	86803240	2014	26	110	2251	24	True	198
Biology	86803240	2014	26	112	2267	24	True	198
Biology	86803240	2014	26	113	2306	24	True	199
Biology	86803240	2014	26	117	2370	24	True	203
Biology	86803240	2014	26	121	2409	25	True	213
Biology	86803240	2014	26	121	2559	25	True	222
Biology	86803240	2014	26	123	2559	25	True	226
Biology	86803240	2014	26	126	2569	25	True	236
Biology	86803240	2014	27	126	2586	25	True	240
Biology	86803240	2014	27	130	2586	25	True	240
Biology	86803240	2014	27	135	2586	26	True	240
Biology	86803240	2014	27	137	2586	26	True	241
Biology	86803240	2014	27	138	2600	27	True	243
Biology	86803240	2014	28	138	2653	27	True	245
Biology	86803240	2014	28	140	2674	27	True	252
Biology	86803240	2014	28	140	2698	27	True	253
Biology	86803240	2014	28	141	2704	27	True	254
Biology	86803240	2014	28	142	2711	27	True	254
Biology	86803240	2014	28	142	2716	27	True	254
Biology	86803240	2014	28	144	2720	27	True	254
Biology	86803240	2014	28	155	2748	28	True	269
Biology	86803240	2014	29	155	2793	28	True	270
Biology	86803240	2014	29	155	2878	28	True	277
Biology	86803240	2014	29	156	2886	28	True	285
Biology	86803240	2014	29	157	2886	28	True	294
Biology	86803240	2014	29	157	2886	28	True	296
Biology	86803240	2014	30	163	2886	28	True	301
Biology	86803240	2014	30	164	3102	29	True	304
Biology	86803240	2014	30	164	3102	30	True	311
Biology	86803240	2014	30	168	3102	31	True	311
Biology	86803240	2014	30	171	3102	31	True	311
Biology	86803240	2014	30	171	3579	31	True	311
Biology	86803240	2014	30	173	3704	31	True	312
Biology	86803240	2014	30	174	3704	31	True	312
Biology	86803240	2014	30	175	3704	32	True	313
Biology	86803240	2014	31	178	3751	32	True	322
Biology	86803240	2014	31	181	3828	33	True	323
Biology	86803240	2014	31	183	3845	33	True	323
Biology	86803240	2014	31	185	4073	33	True	323
Biology	86803240	2014	31	186	4338	34	True	330
Biology	86803240	2014	31	188	4411	36	True	330
Biology	86803240	2014	31	199	4465	36	True	341
Biology	86803240	2014	31	201	4494	36	True	343
Biology	86803240	2014	31	219	4516	36	True	343
Biology	86803240	2014	31	220	4756	36	True	355
Biology	86803240	2014	32	220	4778	36	True	360
Biology	86803240	2014	32	225	4956	37	True	371
Biology	86803240	2014	32	226	4977	37	True	381
Biology	86803240	2014	32	236	5360	37	True	385
Biology	86803240	2014	32	236	5534	37	True	388
Biology	86803240	2014	33	236	5593	38	True	413
Biology	86803240	2014	33	236	5602	38	True	424
Biology	86803240	2014	33	239	5604	38	True	447
Biology	86803240	2014	33	240	5703	39	True	455
Biology	86803240	2014	34	242	5775	39	True	460
Biology	86803240	2014	34	242	5824	39	True	461
Biology	86803240	2014	34	242	5961	40	True	479
Biology	86803240	2014	34	242	6199	40	True	479
Biology	86803240	2014	34	243	6391	41	True	479
Biology	86803240	2014	35	243	6542	42	True	479
Biology	86803240	2014	35	243	6542	42	True	479
Biology	86803240	2014	35	243	6542	42	True	497
Biology	86803240	2014	35	250	6542	43	True	501
Biology	86803240	2014	35	250	6585	43	True	510
Biology	86803240	2014	36	256	6585	43	True	511
Biology	86803240	2014	36	266	6585	43	True	515
Biology	86803240	2014	36	271	7082	43	True	536
Biology	86803240	2014	36	274	7224	43	True	547
Biology	86803240	2014	36	278	7777	43	True	548
Biology	86803240	2014	36	280	7830	45	True	564
Biology	86803240	2014	36	318	8522	46	True	585
Biology	86803240	2014	37	330	8535	47	True	609
Biology	86803240	2014	37	331	10025	47	True	637
Biology	86803240	2014	38	344	10290	48	True	659
Biology	86803240	2014	38	360	10769	50	True	715
Biology	86803240	2014	39	375	11259	51	True	810
Biology	86803240	2014	39	401	11507	52	True	861
Biology	86803240	2014	39	401	11809	53	True	1231
Biology	86803240	2014	39	403	11863	53	True	1760
Biology	86803240	2014	39	413	12792	56	True	1783
Biology	86803240	2014	41	425	13315	57	True	1822
Biology	86803240	2014	42	436	13372	57	True	1830
Biology	86803240	2014	43	572	16564	60	True	1833
Biology	86803240	2014	44	802	16567	63	True	1965
Biology	86803240	2014	45	877	17231	69	True	6724
Biology	86803240	2014	45	1120	19239	78	True	7089
Biology	86803240	2014	45	3179	36033	82	True	7195
Biology	86803240	2014	46	7349	65626	91	True	19371
Biology	86803240	2014	46	7765	71218	95	True	20667
Biology	86803240	2014	46	7847	72363	99	True	21465
Biology	86803240	2015	2	1	0	0	False	1
Biology	86803240	2015	2	1	0	0	False	2
Biology	86803240	2015	3	1	0	0	False	3
Biology	86803240	2015	5	1	0	0	False	3
Biology	86803240	2015	6	2	1	1	False	3
Biology	86803240	2015	6	3	1	1	False	5
Biology	86803240	2015	7	4	5	1	False	7
Biology	86803240	2015	7	4	5	1	False	7
Biology	86803240	2015	7	4	6	1	False	7
Biology	86803240	2015	8	4	6	1	False	9
Biology	86803240	2015	8	5	9	2	False	10
Biology	86803240	2015	8	6	36	3	False	13
Biology	86803240	2015	9	7	45	3	False	14
Biology	86803240	2015	9	8	47	4	False	16
Biology	86803240	2015	9	9	49	4	False	17
Biology	86803240	2015	9	11	54	4	False	17
Biology	86803240	2015	9	14	103	5	False	18
Biology	86803240	2015	9	14	111	5	False	18
Biology	86803240	2015	10	15	118	5	False	19
Biology	86803240	2015	10	15	120	6	False	20
Biology	86803240	2015	10	16	120	6	False	20
Biology	86803240	2015	10	17	133	6	False	23
Biology	86803240	2015	10	19	170	6	False	23
Biology	86803240	2015	11	19	172	7	False	25
Biology	86803240	2015	11	20	179	7	False	26
Biology	86803240	2015	11	20	181	7	False	29
Biology	86803240	2015	11	20	186	7	False	30
Biology	86803240	2015	11	21	203	7	False	33
Biology	86803240	2015	11	22	206	8	False	34
Biology	86803240	2015	11	22	212	8	False	35
Biology	86803240	2015	11	22	213	8	False	35
Biology	86803240	2015	11	22	214	8	False	36
Biology	86803240	2015	12	22	224	8	False	36
Biology	86803240	2015	12	22	226	8	False	36
Biology	86803240	2015	12	22	230	8	False	36
Biology	86803240	2015	12	23	233	8	False	37
Biology	86803240	2015	12	24	234	8	False	38
Biology	86803240	2015	12	24	238	8	False	38
Biology	86803240	2015	12	24	249	9	False	38
Biology	86803240	2015	12	24	259	9	False	38
Biology	86803240	2015	12	24	263	9	False	40
Biology	86803240	2015	12	24	267	9	False	42
Biology	86803240	2015	12	25	271	9	False	42
Biology	86803240	2015	12	27	275	9	False	42
Biology	86803240	2015	12	27	283	10	False	42
Biology	86803240	2015	12	28	290	10	False	43
Biology	86803240	2015	12	28	304	10	False	47
Biology	86803240	2015	12	28	306	10	False	48
Biology	86803240	2015	12	28	307	10	False	48
Biology	86803240	2015	13	28	307	10	False	49
Biology	86803240	2015	13	28	307	10	False	49
Biology	86803240	2015	13	30	307	10	False	49
Biology	86803240	2015	13	30	309	10	False	49
Biology	86803240	2015	14	30	311	10	False	49
Biology	86803240	2015	14	31	319	10	False	49
Biology	86803240	2015	14	31	328	10	False	50
Biology	86803240	2015	14	32	328	10	False	50
Biology	86803240	2015	14	32	329	10	False	50
Biology	86803240	2015	14	32	329	10	False	50
Biology	86803240	2015	14	32	333	10	False	54
Biology	86803240	2015	14	32	351	11	False	57
Biology	86803240	2015	14	32	363	11	False	57
Biology	86803240	2015	14	33	367	11	False	58
Biology	86803240	2015	14	33	376	11	False	58
Biology	86803240	2015	14	33	376	11	False	58
Biology	86803240	2015	14	35	376	11	False	61
Biology	86803240	2015	14	35	381	11	False	62
Biology	86803240	2015	14	36	391	11	False	65
Biology	86803240	2015	15	37	421	11	False	68
Biology	86803240	2015	15	38	421	12	False	68
Biology	86803240	2015	15	39	421	12	False	69
Biology	86803240	2015	15	39	421	12	False	70
Biology	86803240	2015	15	40	436	12	False	70
Biology	86803240	2015	15	41	463	12	False	71
Biology	86803240	2015	16	43	490	12	False	71
Biology	86803240	2015	16	44	515	12	False	75
Biology	86803240	2015	16	44	522	13	False	75
Biology	86803240	2015	16	46	522	13	False	76
Biology	86803240	2015	17	47	522	13	False	77
Biology	86803240	2015	17	47	522	13	False	79
Biology	86803240	2015	17	47	561	13	False	81
Biology	86803240	2015	17	47	581	13	False	84
Biology	86803240	2015	17	47	593	13	False	84
Biology	86803240	2015	17	48	617	13	False	85
Biology	86803240	2015	17	48	627	13	False	85
